Phylum	i_Si_2w_1	i_Si_2w_2	i_Si_2w_3	i_Si_4w_1	i_Si_4w_2	i_Si_4w_3	i_Si_6w_1	i_Si_6w_2	i_Si_6w_3	i_Si_8w_1	i_Si_8w_2	i_Si_8w_3	o_Si_1	o_Si_2	o_Si_3	i_So_2w_1	i_So_2w_2	i_So_2w_3	i_So_4w_1	i_So_4w_2	i_So_4w_3	i_So_6w_1	i_So_6w_2	i_So_6w_3	i_So_8w_1	i_So_8w_2	i_So_8w_3	o_So_1	o_So_2	o_So_3
Proteobacteria	46.2536	31.9646	39.694	36.635	41.3919	43.9002	25.1456	33.4304	37.5773	73.6753	39.6622	42.1021	34.4638	25.6281	32.3606	28.9693	27.7129	29.3334	28.0907	26.9482	29.1923	29.1605	28.5141	28.9693	28.2865	26.7706	27.5809	31.9645	29.2423	31.3682
Acidobacteria	8.4714	2.2624	5.3896	6.1088	7.0329	7.4882	2.9907	4.9344	4.3973	2.0439	4.4064	3.3184	6.0588	3.9785	1.5113	17.7029	18.4131	17.1567	22.4371	22.3825	22.6328	21.3446	20.4661	22.2687	22.4872	24.0076	20.5526	13.1145	13.0416	12.3224
Bacteroidetes	15.0582	53.5961	30.8904	5.3532	7.8341	5.2212	9.0131	10.6018	11.7216	7.297	10.5972	17.175	7.6202	4.9208	2.1486	7.6156	6.9373	7.3424	5.4124	4.898	5.0528	4.4747	3.8647	4.9708	4.2197	4.2653	4.1606	10.6063	7.1695	6.5003
Patescibacteria	3.414	0.5007	2.0302	19.0277	4.0604	8.8401	36.5532	15.691	3.5825	4.3609	9.9008	4.9162	15.9277	34.4455	46.3401	4.1833	4.593	4.3836	2.4035	2.103	1.7116	1.2382	1.6205	1.9301	2.1212	2.185	2.3352	4.7569	6.9919	8.4031
Planctomycetes	5.7629	1.3929	3.9375	7.3424	12.1175	7.1649	4.766	7.2514	10.5198	3.587	6.3956	6.7962	6.3638	8.5123	5.2895	10.3741	10.934	10.2057	10.2103	11.9446	9.136	12.9005	11.2026	9.4182	10.1101	10.6928	12.5546	10.324	10.1966	9.8233
Actinobacteria	8.6899	6.0315	6.9556	10.3969	7.0102	8.0435	6.2136	6.8372	8.5852	1.7844	7.9252	5.7538	18.3585	13.9202	5.2394	1.789	2.3853	2.1941	1.7616	2.1941	2.0166	2.0439	2.9497	2.3079	1.9028	1.9756	1.4293	3.1045	2.1212	1.8254
Chloroflexi	1.9574	0.701	1.7207	1.1471	2.1121	1.2017	0.6418	2.622	0.9969	0.478	1.4521	0.9468	1.2882	0.9559	0.4643	5.1757	5.2849	5.1575	4.7523	4.8434	4.4018	4.6977	5.4807	4.7569	5.3987	4.6294	4.6476	3.76	4.0331	3.9193
Verrucomicrobia	1.5887	0.346	1.2291	1.6888	3.1045	1.8937	0.8603	1.1926	1.8163	0.6783	1.0424	1.484	3.0453	2.8678	1.0333	3.5369	3.5597	3.4368	3.4778	4.1242	3.4322	3.2547	3.6644	3.0999	3.3685	3.9057	3.0954	3.4186	3.0089	2.9679
Cyanobacteria	0.8285	0.1001	1.4248	4.7751	5.3714	9.8826	5.2258	5.5945	10.8248	1.4202	6.25	3.5825	0.3778	0.5189	1.1062	0.3095	0.3277	0.3869	0.6327	0.478	0.5417	0.4507	0.4916	0.5554	0.4871	0.5098	0.528	0.5736	0.3232	0.569
Nitrospirae	1.4202	0.2276	1.27	0.6509	0.4825	0.6145	2.8177	1.9938	1.7981	0.3551	4.0286	1.7343	1.6934	0.3414	0.0865	3.5961	3.5096	3.1637	2.3215	2.0712	2.0393	1.7298	2.1304	2.1986	2.0939	1.7753	2.3489	2.4672	3.4414	4.2152
Other	5.5309	1.8071	3.9968	5.6448	7.4292	4.5522	4.4885	6.6097	6.6917	1.9664	5.8949	10.1468	3.6054	2.6904	3.528	8.526	8.6855	9.2816	8.2255	7.948	8.353	8.1983	8.0118	7.7797	8.0891	8.203	9.8188	7.8659	13.0053	9.6958
Unclassified	1.0242	1.0697	1.4612	1.229	2.053	1.1972	1.2837	3.241	1.4885	2.3534	2.4444	2.0439	1.1972	1.2199	0.8922	8.2209	7.6565	7.9569	10.2739	10.0645	11.4893	10.5061	11.6031	11.7442	11.4347	11.0796	10.9476	8.0434	7.4243	8.3894
