Phylum	i_Si_2w_1	i_Si_2w_2	i_Si_2w_3	i_Si_4w_1	i_Si_4w_2	i_Si_4w_3	i_Si_6w_1	i_Si_6w_2	i_Si_6w_3	i_Si_8w_1	i_Si_8w_2	i_Si_8w_3	o_Si_1	o_Si_2	o_Si_3	i_So_2w_1	i_So_2w_2	i_So_2w_3	i_So_4w_1	i_So_4w_2	i_So_4w_3	i_So_6w_1	i_So_6w_2	i_So_6w_3	i_So_8w_1	i_So_8w_2	i_So_8w_3	o_So_1	o_So_2	o_So_3
Ascomycota	59.4947	79.1278	29.4013	71.5883	20.5101	40.6743	74.4609	34.2935	78.7013	78.307	57.5394	47.6102	80.8497	89.4512	91.2053	81.7911	69.9469	73.3585	58.9395	58.6337	62.6247	70.5343	59.3096	66.3743	78.5887	76.3518	79.8761	80.3025	27.6472	79.345
Basidiomycota	21.0412	7.7647	10.589	12.7696	63.8236	57.5877	12.9063	9.72	5.2462	8.1268	15.9318	26.6334	9.1809	6.4854	3.3956	9.6395	15.2076	14.7892	10.9269	11.5465	12.5925	8.0142	8.7061	8.7947	6.6382	11.1683	12.3833	12.3753	68.4261	9.7602
Mortierellomycota	15.5053	10.0579	58.4406	10.4844	9.197	0.4184	2.6151	21.009	5.7612	8.9797	8.2716	9.551	1.7943	1.0058	0.7644	2.9852	7.0888	3.814	21.6769	21.1941	16.2053	16.2697	27.2771	15.4812	8.5533	9.5027	5.7531	2.9369	1.5449	1.384
Rozellomycota	0.1529	0.0402	0.1046	0.6115	0.3943	0	1.2391	1.6736	0.0724	1.5047	0.1126	0.0322	0.2092	0.3701	0.2575	1.3116	1.6173	0.861	1.384	2.4783	2.5829	1.3679	1.4162	5.7531	2.253	0.7724	0.3943	0.0563	0.0161	0.1287
Glomeromycota	0.2897	0.1368	0.1126	0	0	0.0402	0	0.0644	0	0	2.1564	0	4.1841	0.4747	3.7174	0.2816	1.8185	0.1609	0.2092	0.0563	0.0241	0.4667	0.0966	0.0885	0.0161	0.169	0.0241	1.4081	1.1345	2.3013
Mucoromycota	1.1104	1.2311	0	0	0.0402	0	0	8.1992	0	0.0161	0.0563	0	0.008	0.0161	0	0.0161	0.0322	0.0483	0.0563	0.1126	0.2092	0.515	0.0483	0.008	0.008	0.0322	0.008	0.0644	0.0402	0.0885
Chytridiomycota	0.3621	0	0.7081	0	0	0.9253	0.1368	0.0161	0.0724	0	0	0.9092	0.1126	1.1345	0.0161	0.1931	0.3138	0.2012	0.6276	1.3196	1.4242	0.2172	0.7242	0.6196	0.3782	0.3379	0.0563	0.0805	0.0322	0.008
Kickxellomycota	0.523	0.7322	0.346	0	0.346	0	0.1046	0	0	0	0.0241	0	0.008	0	0	0.0161	0.0161	0.0241	0.0885	0.0241	0.0885	0.0161	0.0483	0.0805	0.0322	0	0	0.008	0	0
Entorrhizomycota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1448	0.0805	0	0	0
Unclassified	1.5208	0.9092	0.2977	4.5462	5.6888	0.354	8.5372	25.0241	10.1464	3.0657	15.9076	15.2639	3.653	1.0621	0.6437	3.7657	3.9588	6.7428	6.0911	4.6347	4.2485	2.599	2.3737	2.8001	3.5323	1.5208	1.4242	2.7679	1.1587	6.9842
