OTU	Total_tags	i_Si_2w_1_tags	i_Si_2w_2_tags	i_Si_2w_3_tags	i_Si_4w_1_tags	i_Si_4w_2_tags	i_Si_4w_3_tags	i_Si_6w_1_tags	i_Si_6w_2_tags	i_Si_6w_3_tags	i_Si_8w_1_tags	i_Si_8w_2_tags	i_Si_8w_3_tags	o_Si_1_tags	o_Si_2_tags	o_Si_3_tags	i_So_2w_1_tags	i_So_2w_2_tags	i_So_2w_3_tags	i_So_4w_1_tags	i_So_4w_2_tags	i_So_4w_3_tags	i_So_6w_1_tags	i_So_6w_2_tags	i_So_6w_3_tags	i_So_8w_1_tags	i_So_8w_2_tags	i_So_8w_3_tags	o_So_1_tags	o_So_2_tags	o_So_3_tags	i_Si_2w_1_relative_abundance	i_Si_2w_2_relative_abundance	i_Si_2w_3_relative_abundance	i_Si_4w_1_relative_abundance	i_Si_4w_2_relative_abundance	i_Si_4w_3_relative_abundance	i_Si_6w_1_relative_abundance	i_Si_6w_2_relative_abundance	i_Si_6w_3_relative_abundance	i_Si_8w_1_relative_abundance	i_Si_8w_2_relative_abundance	i_Si_8w_3_relative_abundance	o_Si_1_relative_abundance	o_Si_2_relative_abundance	o_Si_3_relative_abundance	i_So_2w_1_relative_abundance	i_So_2w_2_relative_abundance	i_So_2w_3_relative_abundance	i_So_4w_1_relative_abundance	i_So_4w_2_relative_abundance	i_So_4w_3_relative_abundance	i_So_6w_1_relative_abundance	i_So_6w_2_relative_abundance	i_So_6w_3_relative_abundance	i_So_8w_1_relative_abundance	i_So_8w_2_relative_abundance	i_So_8w_3_relative_abundance	o_So_1_relative_abundance	o_So_2_relative_abundance	o_So_3_relative_abundance	Domain	Phylum	Class	Order	Family	Genus	Species
ASV000004	15390	0	0	0	4420	172	0	0	8	0	2533	328	190	0	0	0	0	0	0	87	191	331	7	70	104	144	2867	3938	0	0	0	0	0	0	35.564854	1.383972	0	0	0.064371	0	20.381397	2.639202	1.528806	0	0	0	0	0	0	0.700032	1.536852	2.663341	0.056324	0.563244	0.83682	1.158674	23.068877	31.686514	0	0	0	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Metarhizium	Metarhizium_anisopliae
ASV000003	14141	407	80	1044	195	56	0	80	723	91	90	55	19	38	19	39	61	87	87	1814	1962	903	1267	2141	1476	563	506	177	157	3	1	3.274863	0.643708	8.400386	1.569038	0.450595	0	0.643708	5.817509	0.732218	0.724171	0.442549	0.152881	0.305761	0.152881	0.313808	0.490827	0.700032	0.700032	14.596073	15.786933	7.265851	10.194722	17.227229	11.876408	4.530093	4.071452	1.424203	1.263276	0.024139	0.008046	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella_ambigua
ASV000007	13275	1594	559	130	97	505	21	85	284	2472	1303	741	2785	122	153	83	174	261	175	220	131	151	471	135	185	220	70	21	51	14	62	12.825877	4.497908	1.046025	0.780496	4.063405	0.168973	0.683939	2.285163	19.89057	10.48439	5.962343	22.409076	0.981654	1.231091	0.667847	1.400064	2.100097	1.408111	1.770196	1.054071	1.214998	3.789829	1.086257	1.488574	1.770196	0.563244	0.168973	0.410364	0.112649	0.498874	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Chaetomium	
ASV000016	8592	535	227	3041	94	437	0	0	663	54	784	862	1071	9	4	4	107	30	67	249	50	99	131	14	14	23	8	13	2	0	0	4.304796	1.826521	24.468941	0.756357	3.516254	0	0	5.334728	0.434503	6.308336	6.935951	8.617638	0.072417	0.032185	0.032185	0.860959	0.24139	0.539105	2.00354	0.402317	0.796588	1.054071	0.112649	0.112649	0.185066	0.064371	0.104603	0.016093	0	0	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	
ASV000006	8396	89	117	114	0	0	0	0	0	0	0	0	0	1641	2226	3670	0	4	3	0	12	2	0	0	0	0	0	0	299	87	132	0.716125	0.941423	0.917284	0	0	0	0	0	0	0	0	0	13.204055	17.911168	29.530093	0	0.032185	0.024139	0	0.096556	0.016093	0	0	0	0	0	0	2.405858	0.700032	1.062118	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae		
ASV000005	6761	6	1	3	0	0	0	0	0	0	0	0	0	3	210	3	76	72	63	0	0	0	0	0	0	0	0	0	58	6201	65	0.048278	0.008046	0.024139	0	0	0	0	0	0	0	0	0	0.024139	1.689733	0.024139	0.611522	0.579337	0.50692	0	0	0	0	0	0	0	0	0	0.466688	49.895397	0.523013	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Leucoagaricus	Leucoagaricus_rubrotinctus
ASV000008	5847	139	43	38	20	32	0	85	102	43	24	36	7	2	3	0	277	1002	581	490	405	651	363	435	529	273	159	38	15	29	26	1.118442	0.345993	0.305761	0.160927	0.257483	0	0.683939	0.820727	0.345993	0.193112	0.289668	0.056324	0.016093	0.024139	0	2.228838	8.06244	4.674928	3.94271	3.258771	5.238172	2.920824	3.500161	4.256518	2.196653	1.279369	0.305761	0.120695	0.233344	0.209205	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Meripilaceae		
ASV000012	5726	194	181	20	280	228	18	414	33	22	87	24	0	19	24	65	1994	244	203	115	230	271	159	116	210	110	46	17	201	95	106	1.560991	1.456389	0.160927	2.252977	1.834567	0.144834	3.331188	0.265529	0.17702	0.700032	0.193112	0	0.152881	0.193112	0.523013	16.044416	1.963309	1.633408	0.92533	1.85066	2.18056	1.279369	0.933376	1.689733	0.885098	0.370132	0.136788	1.617316	0.764403	0.852913	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium_solani
ASV000009	5677	204	55	157	38	25	0	195	50	39	43	24	15	47	10	59	430	480	495	834	391	512	314	352	259	263	137	45	48	54	102	1.641455	0.442549	1.263276	0.305761	0.201159	0	1.569038	0.402317	0.313808	0.345993	0.193112	0.120695	0.378178	0.080463	0.474734	3.459929	3.862247	3.982942	6.710653	3.146122	4.11973	2.526553	2.832314	2.084004	2.116189	1.10235	0.362086	0.386225	0.434503	0.820727	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Metarhizium	Metarhizium_anisopliae
ASV000010	5589	285	136	18	10	6	0	154	12	8	31	15	0	190	81	29	2679	99	94	137	101	175	111	69	86	109	87	45	529	94	199	2.293209	1.094303	0.144834	0.080463	0.048278	0	1.239137	0.096556	0.064371	0.249437	0.120695	0	1.528806	0.651754	0.233344	21.556164	0.796588	0.756357	1.10235	0.812681	1.408111	0.893145	0.555198	0.691986	0.877052	0.700032	0.362086	4.256518	0.756357	1.601223	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium_solani
ASV000031	5552	853	10	8	9	2321	0	0	89	30	29	197	1864	15	17	17	16	0	0	25	15	13	0	0	0	9	6	9	0	0	0	6.863534	0.080463	0.064371	0.072417	18.675571	0	0	0.716125	0.24139	0.233344	1.58513	14.998391	0.120695	0.136788	0.136788	0.128742	0	0	0.201159	0.120695	0.104603	0	0	0	0.072417	0.048278	0.072417	0	0	0	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Leucoagaricus	
