,logFC,logCPM,LR,PValue,FDR,Domain,Phylum,Class,Order,Family,Genus,Species,threshold
ASV000004,-0.260386524563761,13.7914525068199,0.0259269041652566,0.872078959927352,0.88455207973561,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Metarhizium,Metarhizium_anisopliae,Not significant
ASV000003,-2.19331101728811,14.8883692876073,8.02393787525489,0.00461630895098096,0.0646663196260873,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,Mortierella_ambigua,Not significant
ASV000007,2.22185271333524,14.7459656329019,14.7439820887266,0.000123139932461092,0.00423402353633897,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Chaetomium,,Enriched on silk
ASV000016,3.35873199738913,14.0561249085417,12.7538230416307,0.000355282239024485,0.00959825985428053,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,,Enriched on silk
ASV000006,4.07658464836796,14.6034834799607,4.06922773847354,0.0436712358069142,0.282617655297977,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,,,Not significant
ASV000005,-3.86609673738503,10.5349164695649,5.77725707421212,0.0162348576105072,0.150172432897191,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Leucoagaricus,Leucoagaricus_rubrotinctus,Not significant
ASV000008,-2.79630961750619,13.6359091969677,16.6933389327806,4.39349923626146e-05,0.00193329130036388,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Meripilaceae,,,Depleted on silk
ASV000012,-0.63538135306225,13.2843748695688,1.1564132686356,0.282210640848562,0.764964902531152,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium_solani,Not significant
ASV000009,-1.98637103722929,13.6544450550346,12.8237092666117,0.000342254531660106,0.00939543891750808,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Metarhizium,Metarhizium_anisopliae,Depleted on silk
ASV000010,-1.49070916393792,12.8804214244517,4.70869780535237,0.030010375518765,0.229922060739307,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium_solani,Not significant
ASV000031,4.42738397704144,12.3118168524042,14.5549463285803,0.000136130807452367,0.00438284840157709,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Leucoagaricus,,Enriched on silk
ASV000013,-2.37853863701165,13.1507832406157,16.9468525448372,3.84409995188592e-05,0.00179250907345475,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Talaromyces,,Depleted on silk
ASV000029,4.64083763039977,12.5807457639911,9.82934950216706,0.00171749078408955,0.0317735795056566,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Leucoagaricus,,Enriched on silk
ASV000021,0.572808261531023,13.0360780092048,0.776733760121029,0.378141937166512,0.784042842117005,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Chaetomium,,Not significant
ASV000017,3.02824485412601,13.6192761503013,5.63301123801706,0.017625329061451,0.161164196054707,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Cucurbitariaceae,Pyrenochaetopsis,Pyrenochaetopsis_leptospora,Not significant
ASV000022,-0.331261395278769,12.7432107398411,0.255219470805411,0.613423631447725,0.784042842117005,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,,Not significant
ASV000023,-1.68409603117297,12.7601809544311,9.58877237666919,0.00195770795444129,0.0350738835627271,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,,,Depleted on silk
ASV000020,-4.88711888865553,12.7987869729999,19.1278348486294,1.22248939976966e-05,0.000693558986135988,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Campylospora,Campylospora_parvula,Depleted on silk
ASV000032,-0.0821997020676782,10.5909324802091,0.00576270142506985,0.939488744647827,0.945041278599647,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,,Not significant
ASV000045,2.89050888631607,12.9131968552474,10.6736781026742,0.00108670818914599,0.0225558211942254,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,Mortierella_epicladia,Enriched on silk
ASV000037,2.40688803932902,11.2357764514857,2.18826744018473,0.139065665501059,0.56512445724528,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Metacordyceps,Metacordyceps_chlamydosporia,Not significant
ASV000019,5.75958721556944,8.61631788119226,4.35439130627373,0.0369136484802401,0.259280301356996,Fungi,Basidiomycota,Agaricomycetes,,,,,Not significant
ASV000085,1.67166548508273,11.3830365564902,2.61057052667445,0.10615356569719,0.503268436815089,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,,,Not significant
ASV000027,-1.34356188134253,12.3150679601305,5.16259468904336,0.0230783945157427,0.188843401277856,Fungi,Basidiomycota,Tremellomycetes,Cystofilobasidiales,Mrakiaceae,Tausonia,Tausonia_pullulans,Not significant
ASV000028,-1.56161791016234,12.2926676272833,2.51602633293929,0.11269424138665,0.518632981032107,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Bionectriaceae,,,Not significant
ASV000056,4.08684561155262,11.4314650143988,8.2273164609196,0.00412645007480774,0.0591409014555455,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Leucoagaricus,,Not significant
ASV000034,5.64402330911513,13.0665211651448,5.77982291465897,0.0162111746125659,0.150172432897191,Fungi,Ascomycota,,,,,,Not significant
ASV000052,2.95698522886262,12.4120192501904,4.84831299696367,0.0276731850332998,0.216053949204937,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Metacordyceps,Metacordyceps_chlamydosporia,Not significant
ASV000033,-1.21339942628443,12.1920794727334,1.91281487169035,0.166650913136517,0.576916023240698,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,Mortierella_alpina,Not significant
ASV000035,0.661855962733726,11.2673255424031,0.253270802961755,0.614781362893807,0.784042842117005,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Humicola,Humicola_grisea,Not significant
ASV000036,-3.30374135976098,12.3204993678313,21.2115484455184,4.11278909610057e-06,0.000311109646291696,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium_nematophilum,Depleted on silk
ASV000041,2.15174944949904,12.5511666098778,2.7407737287099,0.0978173944129389,0.479094115944812,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Paraboeremia,Paraboeremia_selaginellae,Not significant
ASV000038,-4.45200529340554,11.7389921161842,25.9876397424883,3.4361024856596e-07,3.98098485544024e-05,Fungi,Rozellomycota,Rozellomycotina_cls_Incertae_sedis,GS11,,,,Depleted on silk
ASV000077,2.35011980950871,12.0788398685166,11.0209174175926,0.000900894730180144,0.0199132835164494,Fungi,Ascomycota,Sordariomycetes,Sordariales,,,,Enriched on silk
ASV000094,3.04461392474899,12.1984220031289,3.89148179538961,0.0485315866371732,0.303122056720986,Fungi,Ascomycota,Sordariomycetes,Sordariales,,,,Not significant
ASV000030,5.13091720530356,8.25481704924363,3.02134624590308,0.0821752241418557,0.418749196076163,Fungi,Basidiomycota,Agaricomycetes,,,,,Not significant
ASV000039,-2.21573745214236,10.7284231189611,6.29779187306781,0.0120888464648519,0.127372207477905,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Lophiostomataceae,Lophiostoma,,Not significant
ASV000040,-4.36825551537789,11.9140958263724,16.3518648897806,5.26043740709457e-05,0.00221068258441357,Fungi,Ascomycota,Dothideomycetes,Pleosporales,,,,Depleted on silk
ASV000044,-0.277116874258164,10.552793081468,0.0635482033716244,0.800973284849456,0.815916287457659,Fungi,Ascomycota,Leotiomycetes,Helotiales,,,,Not significant
ASV000047,-0.982946539824107,10.6268158364119,0.396260921312695,0.529026618139632,0.784042842117005,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiales_fam_Incertae_sedis,,,Not significant
ASV000050,-0.918563328401684,11.0858196190634,1.30796097985458,0.252764163129036,0.713530714081165,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,Trichoderma_asperellum,Not significant
ASV000043,4.93251506942883,8.1546868501467,2.66420350223611,0.102629189928523,0.494024561382063,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pezizaceae,Iodophanus,Iodophanus_carneus,Not significant
ASV000097,-1.18866108331146,10.6834787998085,1.44289489317747,0.229671457717755,0.678580234977988,Fungi,,,,,,,Not significant
ASV000079,3.75705545667696,10.9862874083039,10.8501501034781,0.000987877490715542,0.0212475237491136,Fungi,Ascomycota,Dothideomycetes,Capnodiales,,,,Enriched on silk
ASV000048,-2.41385230179615,11.4310674014183,8.62936376508328,0.00330787083777959,0.050720686179287,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium_solani,Not significant
ASV000049,-1.559907453086,10.3507894512945,1.94451212402476,0.163179451104262,0.576206277550734,Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Podospora,,Not significant
ASV000051,-3.8323833182653,11.3579517520689,16.0099876567709,6.30092060232066e-05,0.0025533730631309,Fungi,,,,,,,Depleted on silk
ASV000054,-2.65130321018514,11.4644281753599,8.98728341160451,0.00271864857970187,0.043934417487593,Fungi,Ascomycota,Dothideomycetes,,,,,Depleted on silk
ASV000068,-0.00140071465797484,11.5185608793863,2.45559762035441e-06,0.9987496877516,0.9987496877516,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,,,Not significant
ASV000121,5.66885939259185,12.0395497813854,7.04267401408211,0.00795901157632133,0.094728934985307,Fungi,Basidiomycota,Malasseziomycetes,Malasseziales,Malasseziaceae,Malassezia,Malassezia_restricta,Not significant
ASV000057,-0.774622809710984,10.7358655656507,0.368463982872637,0.543842721785238,0.784042842117005,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,Mortierella_elongata,Not significant
ASV000090,-2.06696011951152,10.6534180300738,5.63906805221499,0.017564541170032,0.161158216018299,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,,Not significant
ASV000055,-1.48089454770258,10.0510314929938,0.698219282010481,0.403382688947017,0.784042842117005,Fungi,Basidiomycota,Microbotryomycetes,Leucosporidiales,Leucosporidiaceae,Leucosporidium,,Not significant
ASV000205,1.9944397253704,8.71767320219598,2.23417501424438,0.134988655930005,0.556723327920475,Fungi,Ascomycota,Sordariomycetes,Microascales,Halosphaeriaceae,Natantispora,Natantispora_retorquens,Not significant
ASV000053,-1.39397113420531,11.3583452077277,2.93798722763554,0.0865184814378136,0.436309497502693,Fungi,Ascomycota,Dothideomycetes,Pleosporales,,,,Not significant
ASV000100,-2.6786174441939,10.0282944190139,6.87695807654645,0.00873140440271967,0.100411150631276,Fungi,Ascomycota,,,,,,Not significant
ASV000112,4.01227650167355,10.4679795929625,10.9522386842604,0.000934905914991568,0.0204001265040468,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,,Enriched on silk
ASV000059,-5.69762139617564,8.74895442317344,11.6108823693962,0.00065567038200942,0.0153924274507591,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Pseudaleuria,,Depleted on silk
ASV000063,-7.6226299361009,11.3879261154675,58.853276618505,1.69878642286936e-14,2.89133449172365e-11,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Talaromyces,,Depleted on silk
ASV000065,-2.04220195106574,10.9818753944646,6.14691158910961,0.0131641791116655,0.132969927881631,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales_fam_Incertae_sedis,Myxocephala,Myxocephala_albida,Not significant
ASV000061,-2.5156159796339,11.1742418046495,6.83722670167962,0.00892773348911199,0.102323248474536,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Trichocladium,Trichocladium_opacum,Not significant
ASV000064,0.377430321507719,11.1214150884888,0.166382536668007,0.683346978765116,0.784042842117005,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,,Not significant
ASV000060,-3.02754960227936,9.11227587310022,3.17896310576152,0.074592050470127,0.391838487346161,Fungi,Ascomycota,Leotiomycetes,Helotiales,,,,Not significant
ASV000071,-1.99057735019907,11.0192387098245,7.69581884332343,0.00553488934051361,0.073596731699642,Fungi,Ascomycota,,,,,,Not significant
ASV000190,2.60787467195252,9.19434519905754,2.6368398618988,0.104411044182557,0.498478533516726,Fungi,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliaceae,,,Not significant
ASV000074,4.16285726607047,9.12578256951732,5.98904007091447,0.0143950338831856,0.140806595799896,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Plectosphaerellaceae,Plectosphaerella,Plectosphaerella_cucumerina,Not significant
ASV000076,-0.504126374757639,9.99335315361639,0.126865316824919,0.721704586774624,0.789298673554067,Fungi,Ascomycota,Leotiomycetes,Thelebolales,Pseudeurotiaceae,Pseudogymnoascus,,Not significant
ASV000162,3.88535831187564,11.1426191355184,8.71801478844083,0.00315080947475282,0.049577430592853,Fungi,Basidiomycota,Malasseziomycetes,Malasseziales,Malasseziaceae,Malassezia,Malassezia_restricta,Enriched on silk
ASV000069,-3.45787086928593,11.0142717776803,16.8996726598681,3.94083781284603e-05,0.00181278539390917,Fungi,Ascomycota,Dothideomycetes,Botryosphaeriales,Botryosphaeriaceae,Lasiodiplodia,,Depleted on silk
ASV000067,-4.19863883013872,11.3333311009213,35.380031378507,2.71253669023205e-09,6.51126094697501e-07,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Cylindrocarpon,,Depleted on silk
ASV000072,-5.03589450707717,8.80787951821921,8.09259588740783,0.0044446455744616,0.0627783134251754,Fungi,Ascomycota,Dothideomycetes,Pleosporales,,,,Not significant
ASV000070,-0.352331166117363,8.06012725543064,0.0133587408019054,0.907985399255214,0.917146082808531,Fungi,,,,,,,Not significant
ASV000075,-2.81914769083941,10.8684859286295,13.6688066951554,0.000218046460591914,0.00651079080574452,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,,,Depleted on silk
ASV000117,2.17413406621083,8.9721727092858,1.50940919098164,0.219229260720654,0.665112659084766,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,Mortierella_ambigua,Not significant
ASV000066,-4.17486783120749,8.69155114651164,6.57386386902041,0.0103487040642578,0.115120877891286,Fungi,Basidiomycota,Agaricomycetes,Trechisporales,Hydnodontaceae,Trechispora,,Not significant
ASV000118,0.424289248073883,10.0727558582489,0.254397331050715,0.613995660479543,0.784042842117005,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,,,Not significant
ASV000145,2.81959133036956,9.09596734042115,2.57362915792759,0.10865819553686,0.5101689622172,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Meruliaceae,Irpex,,Not significant
ASV000078,-3.7241380799407,10.9607472983538,13.9599463190315,0.000186746995959383,0.00572690787608775,Fungi,Basidiomycota,,,,,,Depleted on silk
ASV000091,-1.10821980344673,10.7077308645505,1.25989634767831,0.261670711468606,0.72655348794167,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymosphaeriaceae,Paraconiothyrium,,Not significant
ASV000082,0.962161543187612,10.8054806757257,0.398109176157927,0.528067376057923,0.784042842117005,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Bionectriaceae,Bionectria,Bionectria_setosa,Not significant
ASV000103,-2.33232317654466,10.3900303576901,8.67912988611722,0.0032187462282669,0.049577430592853,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Ganodermataceae,Ganoderma,,Depleted on silk
ASV000087,5.14374886819268,10.5704406749889,6.9742530483073,0.00826907308298078,0.0970618095671261,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Torulaceae,Torula,Torula_hollandica,Not significant
ASV000080,-3.04110874923684,11.0780787394967,15.2480147032188,9.42758014248832e-05,0.00352653657198135,Fungi,Ascomycota,Sordariomycetes,Chaetosphaeriales,Chaetosphaeriaceae,,,Depleted on silk
ASV000120,2.30656168697353,9.11560978979953,1.33282749393221,0.248302825964614,0.707891808696438,Fungi,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliaceae,,,Not significant
ASV000088,-3.99481880043784,10.7597021959663,13.2116766212427,0.000278210381911157,0.00795821966408049,Fungi,Ascomycota,Dothideomycetes,,,,,Depleted on silk
ASV000106,-2.45756546967847,8.92703559686072,3.39922324074062,0.0652271280710041,0.361029502363736,Fungi,Ascomycota,Sordariomycetes,,,,,Not significant
ASV000086,-5.72685590558754,8.72219548501374,13.9755834467118,0.000185200163542076,0.00572690787608775,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,,Depleted on silk
ASV000093,1.47675590342219,9.82465697483512,1.02338598932847,0.31171718721636,0.784042842117005,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Ophiocordycipitaceae,Purpureocillium,Purpureocillium_lilacinum,Not significant
ASV000083,-5.2935257035672,8.46347465863647,12.5972147161535,0.000386322017393949,0.0101941096682868,Fungi,Basidiomycota,Agaricomycetes,Trechisporales,Hydnodontaceae,Trechispora,,Depleted on silk
ASV000095,-3.63125027714784,9.72493002300716,9.28022558693228,0.00231640899495853,0.0390349317764299,Fungi,Ascomycota,Dothideomycetes,Pleosporales,,,,Depleted on silk
ASV000089,-4.79383550511355,10.807262174723,40.8748457342315,1.62296716246164e-10,6.13842246779935e-08,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Thyridariaceae,,,Depleted on silk
ASV000098,-5.00552932406873,10.2785790595177,21.8133790516669,3.00497426429098e-06,0.000249629117360071,Fungi,Ascomycota,Sordariomycetes,Sordariales,,,,Depleted on silk
ASV000096,-0.508629544841783,10.9563346857998,0.32344173306015,0.56954659377526,0.784042842117005,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,,Not significant
