Var1	Var2	value
2	i_Si_2w_2	i_Si_2w_1	2.37934331479048
3	i_Si_2w_3	i_Si_2w_1	-1.13832170102168
4	i_Si_4w_1	i_Si_2w_1	0.406055286280661
5	i_Si_4w_2	i_Si_2w_1	-0.275204375582706
6	i_Si_4w_3	i_Si_2w_1	0.0212615309428139
7	i_Si_6w_1	i_Si_2w_1	0.0690165882945735
8	i_Si_6w_2	i_Si_2w_1	-0.4437342955372
9	i_Si_6w_3	i_Si_2w_1	0.272486131964795
10	i_Si_8w_1	i_Si_2w_1	-1.03944813020348
11	i_Si_8w_2	i_Si_2w_1	0.180601924278407
12	i_Si_8w_3	i_Si_2w_1	-0.536681231424947
13	o_Si_1	i_Si_2w_1	-1.82313572331411
14	o_Si_2	i_Si_2w_1	1.34672031334579
15	o_Si_3	i_Si_2w_1	-1.14372325361139
18	i_Si_2w_3	i_Si_2w_2	0.98601449687859
19	i_Si_4w_1	i_Si_2w_2	3.90469942462111
20	i_Si_4w_2	i_Si_2w_2	0.888877595458108
21	i_Si_4w_3	i_Si_2w_2	2.75394877333673
22	i_Si_6w_1	i_Si_2w_2	3.13788618507442
23	i_Si_6w_2	i_Si_2w_2	3.20683153782366
24	i_Si_6w_3	i_Si_2w_2	1.38312400068705
25	i_Si_8w_1	i_Si_2w_2	1.06986099463711
26	i_Si_8w_2	i_Si_2w_2	2.62459127350757
27	i_Si_8w_3	i_Si_2w_2	0.0368627793697095
28	o_Si_1	i_Si_2w_2	-1.01322338302465
29	o_Si_2	i_Si_2w_2	0.309256707478186
30	o_Si_3	i_Si_2w_2	0.0853414051457558
34	i_Si_4w_1	i_Si_2w_3	0.467352840300434
35	i_Si_4w_2	i_Si_2w_3	-0.552026389706507
36	i_Si_4w_3	i_Si_2w_3	0.205484852861216
37	i_Si_6w_1	i_Si_2w_3	-0.0477837821135379
38	i_Si_6w_2	i_Si_2w_3	-0.727659201960122
39	i_Si_6w_3	i_Si_2w_3	-0.188174654223062
40	i_Si_8w_1	i_Si_2w_3	0.116114726376794
41	i_Si_8w_2	i_Si_2w_3	0.0532676616912375
42	i_Si_8w_3	i_Si_2w_3	-0.573597606701629
43	o_Si_1	i_Si_2w_3	-1.19599129111737
44	o_Si_2	i_Si_2w_3	-0.103609428809568
45	o_Si_3	i_Si_2w_3	-0.699294665524333
50	i_Si_4w_2	i_Si_4w_1	0.549267168913036
51	i_Si_4w_3	i_Si_4w_1	-0.572988049220675
52	i_Si_6w_1	i_Si_4w_1	-0.859883903162432
53	i_Si_6w_2	i_Si_4w_1	0.00476772587008356
54	i_Si_6w_3	i_Si_4w_1	0.606848725358034
55	i_Si_8w_1	i_Si_4w_1	-1.09430542209516
56	i_Si_8w_2	i_Si_4w_1	-1.3534743042185
57	i_Si_8w_3	i_Si_4w_1	0.718801634798476
58	o_Si_1	i_Si_4w_1	-0.244005124072324
59	o_Si_2	i_Si_4w_1	4.30081466733818
60	o_Si_3	i_Si_4w_1	-0.229720443611043
66	i_Si_4w_3	i_Si_4w_2	-0.680952813090843
67	i_Si_6w_1	i_Si_4w_2	-0.938247248933703
68	i_Si_6w_2	i_Si_4w_2	-0.451164544072056
69	i_Si_6w_3	i_Si_4w_2	0.422680314564253
70	i_Si_8w_1	i_Si_4w_2	6.46618826769404
71	i_Si_8w_2	i_Si_4w_2	-0.57926334632966
72	i_Si_8w_3	i_Si_4w_2	5.2739345160606
73	o_Si_1	i_Si_4w_2	-0.597073189390613
74	o_Si_2	i_Si_4w_2	1.11826314249539
75	o_Si_3	i_Si_4w_2	2.3107248809132
82	i_Si_6w_1	i_Si_4w_3	-0.905410014240003
83	i_Si_6w_2	i_Si_4w_3	-0.305110539398599
84	i_Si_6w_3	i_Si_4w_3	0.280310059414378
85	i_Si_8w_1	i_Si_4w_3	-1.34431426667736
86	i_Si_8w_2	i_Si_4w_3	-0.818867774831135
87	i_Si_8w_3	i_Si_4w_3	0.197121770344516
88	o_Si_1	i_Si_4w_3	-1.00445002186724
89	o_Si_2	i_Si_4w_3	2.70992330814812
90	o_Si_3	i_Si_4w_3	-0.591015003647095
98	i_Si_6w_2	i_Si_6w_1	-0.383038257294439
99	i_Si_6w_3	i_Si_6w_1	0.188703200405041
100	i_Si_8w_1	i_Si_6w_1	-1.28085076579263
101	i_Si_8w_2	i_Si_6w_1	-0.520066238809342
102	i_Si_8w_3	i_Si_6w_1	-0.5747643059043
103	o_Si_1	i_Si_6w_1	-0.373082109034525
104	o_Si_2	i_Si_6w_1	3.67822112657081
105	o_Si_3	i_Si_6w_1	-0.15697124731029
114	i_Si_6w_3	i_Si_6w_2	0.388269484260912
115	i_Si_8w_1	i_Si_6w_2	2.94322169500216
116	i_Si_8w_2	i_Si_6w_2	-2.16549363031019
117	i_Si_8w_3	i_Si_6w_2	6.35486888409632
118	o_Si_1	i_Si_6w_2	-0.568791571159835
119	o_Si_2	i_Si_6w_2	3.09142260073206
120	o_Si_3	i_Si_6w_2	0.939120188307144
130	i_Si_8w_1	i_Si_6w_3	0.016843606384487
131	i_Si_8w_2	i_Si_6w_3	0.283875995769482
132	i_Si_8w_3	i_Si_6w_3	2.08207911948884
133	o_Si_1	i_Si_6w_3	0.280351415763307
134	o_Si_2	i_Si_6w_3	1.58970226474117
135	o_Si_3	i_Si_6w_3	0.479932680546352
146	i_Si_8w_2	i_Si_8w_1	-1.58111487971167
147	i_Si_8w_3	i_Si_8w_1	-1.96379231015336
148	o_Si_1	i_Si_8w_1	-1.16496586908595
149	o_Si_2	i_Si_8w_1	0.341376567060892
150	o_Si_3	i_Si_8w_1	-0.353662191870335
162	i_Si_8w_3	i_Si_8w_2	-1.29196875834271
163	o_Si_1	i_Si_8w_2	-0.546590434512877
164	o_Si_2	i_Si_8w_2	3.24860844854035
