Var1	Var2	value
2	i_So_2w_2	i_So_2w_1	-0.844060884104747
3	i_So_2w_3	i_So_2w_1	-0.583534995749661
4	i_So_4w_1	i_So_2w_1	-1.32440740527956
5	i_So_4w_2	i_So_2w_1	-0.967485946348081
6	i_So_4w_3	i_So_2w_1	-0.79938454265657
7	i_So_6w_1	i_So_2w_1	-0.968556382818399
8	i_So_6w_2	i_So_2w_1	-1.16577284794451
9	i_So_6w_3	i_So_2w_1	-0.88973290508445
10	i_So_8w_1	i_So_2w_1	-0.760313342853681
11	i_So_8w_2	i_So_2w_1	-1.35342402287872
12	i_So_8w_3	i_So_2w_1	-1.18654825430684
13	o_So_1	i_So_2w_1	-0.577840370518944
14	o_So_2	i_So_2w_1	-0.726485944496424
15	o_So_3	i_So_2w_1	-1.04039464622962
18	i_So_2w_3	i_So_2w_2	-0.69877539771361
19	i_So_4w_1	i_So_2w_2	-0.738018696586077
20	i_So_4w_2	i_So_2w_2	-0.724591259101286
21	i_So_4w_3	i_So_2w_2	0.0932651355806147
22	i_So_6w_1	i_So_2w_2	-0.397329690356995
23	i_So_6w_2	i_So_2w_2	-0.863930710167295
24	i_So_6w_3	i_So_2w_2	-1.0161694214074
25	i_So_8w_1	i_So_2w_2	-0.557699551459698
26	i_So_8w_2	i_So_2w_2	-1.22476917995615
27	i_So_8w_3	i_So_2w_2	-0.903089887454251
28	o_So_1	i_So_2w_2	-0.529774879170496
29	o_So_2	i_So_2w_2	-0.556851285039698
30	o_So_3	i_So_2w_2	-1.20520831372509
34	i_So_4w_1	i_So_2w_3	-0.167855362650169
35	i_So_4w_2	i_So_2w_3	-0.352574512126426
36	i_So_4w_3	i_So_2w_3	0.637441469516556
37	i_So_6w_1	i_So_2w_3	-0.254081163605311
38	i_So_6w_2	i_So_2w_3	-0.435905248268232
39	i_So_6w_3	i_So_2w_3	-0.544763328238342
40	i_So_8w_1	i_So_2w_3	0.229855350192952
41	i_So_8w_2	i_So_2w_3	-0.604791489656083
42	i_So_8w_3	i_So_2w_3	-0.595653899514642
43	o_So_1	i_So_2w_3	0.0635235858155189
44	o_So_2	i_So_2w_3	-0.860664524357888
45	o_So_3	i_So_2w_3	-0.912844567476759
50	i_So_4w_2	i_So_4w_1	-1.28582285986524
51	i_So_4w_3	i_So_4w_1	-1.29108766163163
52	i_So_6w_1	i_So_4w_1	-1.19215837849521
53	i_So_6w_2	i_So_4w_1	-1.57605593279435
54	i_So_6w_3	i_So_4w_1	-1.36462580975431
55	i_So_8w_1	i_So_4w_1	-1.00501311548089
56	i_So_8w_2	i_So_4w_1	-1.18721707166392
57	i_So_8w_3	i_So_4w_1	-1.50853963640517
58	o_So_1	i_So_4w_1	-0.017899378118875
59	o_So_2	i_So_4w_1	-1.29349612865735
60	o_So_3	i_So_4w_1	-1.52108629128895
66	i_So_4w_3	i_So_4w_2	-0.684250717938007
67	i_So_6w_1	i_So_4w_2	-0.803984298109329
68	i_So_6w_2	i_So_4w_2	-1.76688778946168
69	i_So_6w_3	i_So_4w_2	-1.475478560797
70	i_So_8w_1	i_So_4w_2	-0.814344111177293
71	i_So_8w_2	i_So_4w_2	-1.43105338756745
72	i_So_8w_3	i_So_4w_2	-1.68388845973864
73	o_So_1	i_So_4w_2	-0.410939095408922
74	o_So_2	i_So_4w_2	-1.27896062255099
75	o_So_3	i_So_4w_2	-1.57385008815647
82	i_So_6w_1	i_So_4w_3	-0.438239443302717
83	i_So_6w_2	i_So_4w_3	-1.33516067988725
84	i_So_6w_3	i_So_4w_3	-1.81513078997942
85	i_So_8w_1	i_So_4w_3	-0.290491868923951
86	i_So_8w_2	i_So_4w_3	-0.865076931456864
87	i_So_8w_3	i_So_4w_3	-0.75514932416387
88	o_So_1	i_So_4w_3	0.0250719087238517
89	o_So_2	i_So_4w_3	-0.808029863408281
90	o_So_3	i_So_4w_3	-1.02139316979076
98	i_So_6w_2	i_So_6w_1	-0.617513320685525
99	i_So_6w_3	i_So_6w_1	-1.28409728605726
