Var1	Var2	value
2	i_Si_2w_2	i_Si_2w_1	0.98
3	i_Si_2w_3	i_Si_2w_1	1
4	i_Si_4w_1	i_Si_2w_1	1
5	i_Si_4w_2	i_Si_2w_1	1
6	i_Si_4w_3	i_Si_2w_1	0.97
7	i_Si_6w_1	i_Si_2w_1	1
8	i_Si_6w_2	i_Si_2w_1	1
9	i_Si_6w_3	i_Si_2w_1	1
10	i_Si_8w_1	i_Si_2w_1	1
11	i_Si_8w_2	i_Si_2w_1	1
12	i_Si_8w_3	i_Si_2w_1	1
13	o_Si_1	i_Si_2w_1	1
14	o_Si_2	i_Si_2w_1	1
15	o_Si_3	i_Si_2w_1	0.97
18	i_Si_2w_3	i_Si_2w_2	1
19	i_Si_4w_1	i_Si_2w_2	1
20	i_Si_4w_2	i_Si_2w_2	1
21	i_Si_4w_3	i_Si_2w_2	1
22	i_Si_6w_1	i_Si_2w_2	1
23	i_Si_6w_2	i_Si_2w_2	1
24	i_Si_6w_3	i_Si_2w_2	1
25	i_Si_8w_1	i_Si_2w_2	1
26	i_Si_8w_2	i_Si_2w_2	1
27	i_Si_8w_3	i_Si_2w_2	1
28	o_Si_1	i_Si_2w_2	0.93
29	o_Si_2	i_Si_2w_2	0.9
30	o_Si_3	i_Si_2w_2	0.95
34	i_Si_4w_1	i_Si_2w_3	1
35	i_Si_4w_2	i_Si_2w_3	1
36	i_Si_4w_3	i_Si_2w_3	1
37	i_Si_6w_1	i_Si_2w_3	1
38	i_Si_6w_2	i_Si_2w_3	1
39	i_Si_6w_3	i_Si_2w_3	1
40	i_Si_8w_1	i_Si_2w_3	1
41	i_Si_8w_2	i_Si_2w_3	1
42	i_Si_8w_3	i_Si_2w_3	1
43	o_Si_1	i_Si_2w_3	0.99
44	o_Si_2	i_Si_2w_3	1
45	o_Si_3	i_Si_2w_3	1
50	i_Si_4w_2	i_Si_4w_1	0.99
51	i_Si_4w_3	i_Si_4w_1	0.66
52	i_Si_6w_1	i_Si_4w_1	0.97
53	i_Si_6w_2	i_Si_4w_1	0.99
54	i_Si_6w_3	i_Si_4w_1	0.99
55	i_Si_8w_1	i_Si_4w_1	1
56	i_Si_8w_2	i_Si_4w_1	1
57	i_Si_8w_3	i_Si_4w_1	1
58	o_Si_1	i_Si_4w_1	1
59	o_Si_2	i_Si_4w_1	0.99
60	o_Si_3	i_Si_4w_1	0.94
66	i_Si_4w_3	i_Si_4w_2	0.16
67	i_Si_6w_1	i_Si_4w_2	0.99
68	i_Si_6w_2	i_Si_4w_2	0.97
69	i_Si_6w_3	i_Si_4w_2	0.47
70	i_Si_8w_1	i_Si_4w_2	1
71	i_Si_8w_2	i_Si_4w_2	0.98
72	i_Si_8w_3	i_Si_4w_2	0.97
73	o_Si_1	i_Si_4w_2	1
74	o_Si_2	i_Si_4w_2	0.99
75	o_Si_3	i_Si_4w_2	0.93
82	i_Si_6w_1	i_Si_4w_3	1
83	i_Si_6w_2	i_Si_4w_3	0.81
84	i_Si_6w_3	i_Si_4w_3	0.55
85	i_Si_8w_1	i_Si_4w_3	1
86	i_Si_8w_2	i_Si_4w_3	0.95
87	i_Si_8w_3	i_Si_4w_3	0.99
88	o_Si_1	i_Si_4w_3	0.95
89	o_Si_2	i_Si_4w_3	0.87
90	o_Si_3	i_Si_4w_3	0.86
98	i_Si_6w_2	i_Si_6w_1	0.36
99	i_Si_6w_3	i_Si_6w_1	0.99
100	i_Si_8w_1	i_Si_6w_1	1
101	i_Si_8w_2	i_Si_6w_1	0.84
102	i_Si_8w_3	i_Si_6w_1	1
103	o_Si_1	i_Si_6w_1	0.99
104	o_Si_2	i_Si_6w_1	0.94
105	o_Si_3	i_Si_6w_1	0.99
114	i_Si_6w_3	i_Si_6w_2	0.97
115	i_Si_8w_1	i_Si_6w_2	1
116	i_Si_8w_2	i_Si_6w_2	0.98
117	i_Si_8w_3	i_Si_6w_2	0.96
118	o_Si_1	i_Si_6w_2	1
119	o_Si_2	i_Si_6w_2	1
120	o_Si_3	i_Si_6w_2	0.97
130	i_Si_8w_1	i_Si_6w_3	1
131	i_Si_8w_2	i_Si_6w_3	0.91
132	i_Si_8w_3	i_Si_6w_3	0.91
133	o_Si_1	i_Si_6w_3	0.94
134	o_Si_2	i_Si_6w_3	0.8
135	o_Si_3	i_Si_6w_3	0.8
146	i_Si_8w_2	i_Si_8w_1	1
147	i_Si_8w_3	i_Si_8w_1	1
148	o_Si_1	i_Si_8w_1	1
149	o_Si_2	i_Si_8w_1	0.75
150	o_Si_3	i_Si_8w_1	0.48
162	i_Si_8w_3	i_Si_8w_2	0.88
163	o_Si_1	i_Si_8w_2	0.99
164	o_Si_2	i_Si_8w_2	0.97
165	o_Si_3	i_Si_8w_2	0.98
178	o_Si_1	i_Si_8w_3	0.99
179	o_Si_2	i_Si_8w_3	0.99
180	o_Si_3	i_Si_8w_3	0.96
194	o_Si_2	o_Si_1	-0.64
195	o_Si_3	o_Si_1	0.01
210	o_Si_3	o_Si_2	-0.98
