Var1	Var2	value
2	i_So_2w_2	i_So_2w_1	-0.93
3	i_So_2w_3	i_So_2w_1	-0.91
4	i_So_4w_1	i_So_2w_1	0.99
5	i_So_4w_2	i_So_2w_1	0.96
6	i_So_4w_3	i_So_2w_1	0.2
7	i_So_6w_1	i_So_2w_1	0.92
8	i_So_6w_2	i_So_2w_1	0.77
9	i_So_6w_3	i_So_2w_1	0.82
10	i_So_8w_1	i_So_2w_1	0.88
11	i_So_8w_2	i_So_2w_1	0.93
12	i_So_8w_3	i_So_2w_1	0.98
13	o_So_1	i_So_2w_1	0.99
14	o_So_2	i_So_2w_1	1
15	o_So_3	i_So_2w_1	0.92
18	i_So_2w_3	i_So_2w_2	-1
19	i_So_4w_1	i_So_2w_2	0.9
20	i_So_4w_2	i_So_2w_2	0.97
21	i_So_4w_3	i_So_2w_2	0.83
22	i_So_6w_1	i_So_2w_2	0.92
23	i_So_6w_2	i_So_2w_2	0.93
24	i_So_6w_3	i_So_2w_2	0.98
25	i_So_8w_1	i_So_2w_2	0.86
26	i_So_8w_2	i_So_2w_2	0.98
27	i_So_8w_3	i_So_2w_2	1
28	o_So_1	i_So_2w_2	1
29	o_So_2	i_So_2w_2	1
30	o_So_3	i_So_2w_2	0.97
34	i_So_4w_1	i_So_2w_3	0.8
35	i_So_4w_2	i_So_2w_3	0.88
36	i_So_4w_3	i_So_2w_3	0.83
37	i_So_6w_1	i_So_2w_3	0.93
38	i_So_6w_2	i_So_2w_3	0.84
39	i_So_6w_3	i_So_2w_3	0.89
40	i_So_8w_1	i_So_2w_3	0.78
41	i_So_8w_2	i_So_2w_3	0.94
42	i_So_8w_3	i_So_2w_3	0.97
43	o_So_1	i_So_2w_3	1
44	o_So_2	i_So_2w_3	1
45	o_So_3	i_So_2w_3	0.94
50	i_So_4w_2	i_So_4w_1	-0.89
51	i_So_4w_3	i_So_4w_1	0.08
52	i_So_6w_1	i_So_4w_1	-0.91
53	i_So_6w_2	i_So_4w_1	-0.36
54	i_So_6w_3	i_So_4w_1	-0.87
55	i_So_8w_1	i_So_4w_1	-0.67
56	i_So_8w_2	i_So_4w_1	-0.9
57	i_So_8w_3	i_So_4w_1	0.53
58	o_So_1	i_So_4w_1	1
59	o_So_2	i_So_4w_1	1
60	o_So_3	i_So_4w_1	1
66	i_So_4w_3	i_So_4w_2	-0.81
67	i_So_6w_1	i_So_4w_2	-0.81
68	i_So_6w_2	i_So_4w_2	-0.41
69	i_So_6w_3	i_So_4w_2	-0.26
70	i_So_8w_1	i_So_4w_2	-0.4
71	i_So_8w_2	i_So_4w_2	-0.88
72	i_So_8w_3	i_So_4w_2	0.28
73	o_So_1	i_So_4w_2	1
74	o_So_2	i_So_4w_2	1
75	o_So_3	i_So_4w_2	1
82	i_So_6w_1	i_So_4w_3	-0.99
83	i_So_6w_2	i_So_4w_3	0.05
84	i_So_6w_3	i_So_4w_3	0.57
85	i_So_8w_1	i_So_4w_3	-0.81
86	i_So_8w_2	i_So_4w_3	-0.83
87	i_So_8w_3	i_So_4w_3	-0.05
88	o_So_1	i_So_4w_3	0.98
89	o_So_2	i_So_4w_3	1
90	o_So_3	i_So_4w_3	1
98	i_So_6w_2	i_So_6w_1	-0.63
99	i_So_6w_3	i_So_6w_1	-0.8
100	i_So_8w_1	i_So_6w_1	-0.67
101	i_So_8w_2	i_So_6w_1	-0.37
102	i_So_8w_3	i_So_6w_1	-0.02
103	o_So_1	i_So_6w_1	1
104	o_So_2	i_So_6w_1	1
105	o_So_3	i_So_6w_1	1
114	i_So_6w_3	i_So_6w_2	-0.71
115	i_So_8w_1	i_So_6w_2	-0.58
116	i_So_8w_2	i_So_6w_2	0.31
117	i_So_8w_3	i_So_6w_2	0.34
118	o_So_1	i_So_6w_2	0.98
119	o_So_2	i_So_6w_2	1
120	o_So_3	i_So_6w_2	1
130	i_So_8w_1	i_So_6w_3	0.23
131	i_So_8w_2	i_So_6w_3	-0.61
132	i_So_8w_3	i_So_6w_3	0.96
133	o_So_1	i_So_6w_3	1
134	o_So_2	i_So_6w_3	1
135	o_So_3	i_So_6w_3	1
146	i_So_8w_2	i_So_8w_1	-0.68
147	i_So_8w_3	i_So_8w_1	0.79
148	o_So_1	i_So_8w_1	1
149	o_So_2	i_So_8w_1	1
150	o_So_3	i_So_8w_1	1
162	i_So_8w_3	i_So_8w_2	0.62
163	o_So_1	i_So_8w_2	1
164	o_So_2	i_So_8w_2	1
165	o_So_3	i_So_8w_2	1
178	o_So_1	i_So_8w_3	1
179	o_So_2	i_So_8w_3	1
180	o_So_3	i_So_8w_3	1
194	o_So_2	o_So_1	1
195	o_So_3	o_So_1	0.9
210	o_So_3	o_So_2	0.74
