index	sobs	shannon	simpson	chao	ace	goods_coverage	pielou	pd	Group
i_Si_2w_1	308	6.052447976	0.964331077	361.3333333	366.1935478	0.994769874	0.732140348	78.82227	Silk
i_Si_2w_2	354	6.116022026	0.949308467	400.6304348	406.1825026	0.994689411	0.722284711	75.71905	Silk
i_Si_2w_3	301	5.068084032	0.912988663	326	331.4942889	0.995976827	0.615535358	75.70518	Silk
i_Si_4w_1	185	4.805374933	0.863528944	228	233.4800059	0.996459607	0.638046945	42.40171	Silk
i_Si_4w_2	190	4.343099575	0.88621502	203.0967742	206.475657	0.997666559	0.573736119	52.3792	Silk
i_Si_4w_3	276	4.761170348	0.899291422	312.0294118	307.6461228	0.995976827	0.587180858	48.2703	Silk
i_Si_6w_1	188	6.064123436	0.971827958	194.5	197.4186468	0.998873511	0.802707276	45.10416	Silk
i_Si_6w_2	210	5.793671977	0.970210764	211.8947368	212.8977425	0.999275829	0.751035466	54.29486	Silk
i_Si_6w_3	139	4.457915382	0.911750362	139	139	1	0.626204844	36.3475	Silk
i_Si_8w_1	187	5.299511444	0.93327662	187	187	1	0.702210886	50.72574	Silk
i_Si_8w_2	200	5.57148933	0.964112244	204.0384615	206.2648147	0.998793048	0.728884635	59.17444	Silk
i_Si_8w_3	157	4.69659165	0.908575875	158.3333333	159.7678324	0.999356292	0.643843157	35.83098	Silk
o_Si_1	243	5.852612769	0.962508788	289.40625	294.5638782	0.995574509	0.738517506	63.04067	Silk
o_Si_2	312	5.875010295	0.945240427	357.6	360.5059992	0.995413582	0.709079673	75.71121	Silk
o_Si_3	317	5.372564289	0.89686554	358.5531915	370.6266022	0.994930801	0.646647214	77.53011	Silk
i_So_2w_1	374	5.71952052	0.922017962	457.8235294	437.1316445	0.993884776	0.669192833	90.92959	Soil
i_So_2w_2	414	7.074636136	0.982475486	445.92	457.3557806	0.995413582	0.813785788	94.39858	Soil
i_So_2w_3	385	7.108502714	0.986048976	412.7179487	415.0220226	0.996218217	0.827656176	87.59106	Soil
i_So_4w_1	432	6.646317212	0.965948776	485.625	475.8668549	0.994689411	0.759155067	91.33766	Soil
i_So_4w_2	439	6.84873633	0.966366127	492.2	472.0523566	0.995413582	0.780209177	93.87169	Soil
i_So_4w_3	469	7.272964659	0.984236813	499.6923077	502.4352981	0.995413582	0.819632666	95.80795	Soil
i_So_6w_1	412	6.766307599	0.973938887	469.3030303	450.357407	0.995011265	0.778945166	84.89817	Soil
i_So_6w_2	558	6.529690656	0.951889721	615.2435897	620.590135	0.99235597	0.715651451	108.0315	Soil
i_So_6w_3	429	6.430764044	0.964636758	473.6756757	460.4501413	0.995333119	0.735378643	88.36291	Soil
i_So_8w_1	444	6.646023859	0.961218822	507.7179487	489.4231813	0.994287094	0.755709527	93.80033	Soil
i_So_8w_2	513	6.39826133	0.937306358	563.7142857	548.1708384	0.994287094	0.710695634	96.52922	Soil
i_So_8w_3	363	5.24017847	0.884831137	406.3529412	410.8749813	0.994608948	0.616214235	76.14284	Soil
o_So_1	417	6.545683904	0.973768792	466.5849057	472.4711154	0.994126167	0.75204003	91.95935	Soil
o_So_2	402	4.308823355	0.741364861	474.2264151	471.3883717	0.992919215	0.498069311	85.47967	Soil
o_So_3	466	7.152321478	0.983421664	520.75	512.7823812	0.994126167	0.806878529	101.5862	Soil
