index	sobs	shannon	simpson	chao	ace	goods_coverage	pielou	pd	Group
i_Si_2w_1	2335	9.864244387	0.996660855	2695.5	2539.282034	0.981199927	0.881585668	348.77387	Silk
i_Si_2w_2	1185	6.597126846	0.947614676	1321.246377	1329.84251	0.98916606	0.646101184	236.88774	Silk
i_Si_2w_3	2302	8.488004581	0.957639139	2530.644909	2518.504985	0.980926803	0.759983326	367.1891	Silk
i_Si_4w_1	2243	8.130684909	0.97459122	2602.193925	2610.97973	0.97473598	0.730440092	350.54166	Silk
i_Si_4w_2	2898	9.249246054	0.988129965	3573.391304	3611.439276	0.960670066	0.804223391	432.88526	Silk
i_Si_4w_3	1564	7.954076544	0.97410597	1676.563559	1677.290956	0.989484705	0.749604934	277.74857	Silk
i_Si_6w_1	1828	6.941733272	0.919098101	2370.132948	2401.343324	0.972095776	0.640614712	328.17971	Silk
i_Si_6w_2	2536	8.663052848	0.97791191	3179.222222	3350.918837	0.962354334	0.766076506	450.41831	Silk
i_Si_6w_3	2214	8.3829251	0.983025188	2702.743468	2747.212325	0.970775674	0.754373069	347.46337	Silk
i_Si_8w_1	1726	7.206225418	0.953078708	2249.439628	2322.919041	0.973506919	0.670146021	317.19129	Silk
i_Si_8w_2	2330	8.64066008	0.986760948	2898.752155	3005.10962	0.966906409	0.772445185	409.46976	Silk
i_Si_8w_3	2067	8.05257609	0.97965799	2632.103627	2672.84617	0.969910779	0.731166818	374.93359	Silk
o_Si_1	1514	8.543705123	0.972438483	1514	1514	1	0.808745193	268.60679	Silk
o_Si_2	2752	7.336281077	0.884023077	3344.487685	3440.461248	0.961307356	0.642054183	380.20452	Silk
o_Si_3	1728	5.740892741	0.79469242	2025.540323	2076.03814	0.978559723	0.533793844	281.92573	Silk
i_So_2w_1	5808	11.69283477	0.999425106	7731.100231	8232.15614	0.898306628	0.935140573	959.84173	Soil
i_So_2w_2	6278	11.81441626	0.999468923	8903.189513	9426.993528	0.879461034	0.936456295	975.61036	Soil
i_So_2w_3	6439	11.84174954	0.999472777	9553.047619	10114.93198	0.869309905	0.935912773	1012.85857	Soil
i_So_4w_1	4497	11.13930407	0.999163573	5513.641929	5938.662564	0.932583758	0.917967545	817.42565	Soil
i_So_4w_2	4579	11.17141682	0.999189342	5840.205331	6229.394856	0.927212309	0.918640331	811.79207	Soil
i_So_4w_3	4725	11.1924061	0.999159922	5808.472055	6236.619201	0.927713037	0.916951964	837.46923	Soil
i_So_6w_1	4343	10.87861915	0.998042259	5431.334947	5873.777156	0.931718864	0.900214369	793.42204	Soil
i_So_6w_2	4349	11.0578688	0.999103141	5171.507194	5588.335487	0.938410415	0.914896627	794.96544	Soil
i_So_6w_3	4636	11.16214499	0.99915264	5683.665787	6135.001118	0.92971595	0.916532734	845.23088	Soil
i_So_8w_1	4892	11.27001193	0.999214808	6372.83574	6870.740717	0.917516387	0.919534925	855.20661	Soil
i_So_8w_2	4748	11.21212338	0.999198824	6086.415199	6502.823356	0.922614712	0.918040424	849.16477	Soil
i_So_8w_3	4776	11.23115838	0.999196582	6196.961003	6688.890432	0.920338674	0.91896071	842.28049	Soil
o_So_1	6531	11.80932446	0.999391595	9766.104478	10326.90223	0.865941369	0.93184268	1048.50824	Soil
o_So_2	6837	11.80549091	0.998480318	10088.93219	10699.1044	0.859705025	0.926709634	1060.59603	Soil
o_So_3	6699	11.8869759	0.999427679	9925.399142	10479.32191	0.863255645	0.935265805	1056.97031	Soil
