Level_2	i_Si_2w_1	i_Si_2w_2	i_Si_2w_3	i_Si_4w_1	i_Si_4w_2	i_Si_4w_3	i_Si_6w_1	i_Si_6w_2	i_Si_6w_3	i_Si_8w_1	i_Si_8w_2	i_Si_8w_3	o_Si_1	o_Si_2	o_Si_3	i_So_2w_1	i_So_2w_2	i_So_2w_3	i_So_4w_1	i_So_4w_2	i_So_4w_3	i_So_6w_1	i_So_6w_2	i_So_6w_3	i_So_8w_1	i_So_8w_2	i_So_8w_3	o_So_1	o_So_2	o_So_3
Amino acid metabolism	169995.6971	198875.6772	156123.1228	168496.1995	173883.8735	176414.8301	145906.127	164857.6711	165649.2077	179255.9328	165247.0834	181451.7709	170958.8639	160091.6027	159228.4995	135465.2401	135085.8701	135905.8076	140150.8429	138425.4408	140585.2726	141545.9589	140915.8887	142129.6882	139875.8214	139791.507	136659.7154	139825.1369	132392.6207	129834.4393
Carbohydrate metabolism	167778.9124	211472.4325	153142.8167	163157.6981	169631.8648	170728.1768	144885.7037	161854.7061	163754.3753	174921.223	163575.5305	179859.3156	166110.6006	155773.118	153125.3527	135273.6766	134984.7744	135562.8153	139184.6449	138211.9144	139477.0016	140293.8934	140458.8695	140933.2645	138804.1848	138880.7839	135747.0611	139880.0956	131471.4057	130096.7012
Metabolism of cofactors and vitamins	152598.1453	176220.9665	146678.5449	147898.0403	150097.219	150369.9649	138354.3857	148745.6343	149065.5553	150199.4378	149787.2076	157521.8999	154594.0095	145851.5175	142302.0038	134047.9851	133239.659	133947.9335	136192.0152	135465.3941	136796.433	137128.3309	136157.2648	137275.9575	135361.4226	135631.6605	133769.2044	137229.4606	131472.3911	130601.0188
Metabolism of terpenoids and polyketides	121344.258	150525.8251	119393.3677	121393.9202	117130.4737	121297.707	125626.6857	122259.1736	116018.4693	110355.4399	120400.5259	125838.1674	128734.4469	130226.7433	129837.5983	105565.918	104657.1035	104947.7327	106581.6868	105853.8183	106882.9104	106265.6974	106684.5075	107795.0485	106422.9512	106467.9232	104638.0365	106870.4876	100055.4284	100032.7942
Metabolism of other amino acids	103705.4991	110071.4589	98979.4612	104339.3761	107454.1516	109704.1723	91339.2779	101997.6383	103499.696	110890.4586	103384.1985	113597.0219	103264.6802	95038.5826	98978.894	82794.6466	82241.8068	83141.4178	85840.3506	84491.584	85957.8376	86338.8179	85929.0002	87101.2177	85535.3899	85359.2457	83245.698	85424.769	79469.4976	80527.4934
Lipid metabolism	98244.5867	134647.7382	87299.848	89031.2196	95300.0734	91270.6655	72195.3126	85213.1718	88666.662	94079.5284	87117.3354	101243.2774	95425.3579	80110.0367	76307.1546	68571.2597	68166.2252	68894.658	67186.0478	66160.6068	70109.1471	68183.8477	71496.1824	71494.7766	69887.8034	69697.2798	65572.1116	72893.7899	65774.3196	65617.6516
Xenobiotics biodegradation and metabolism	93377.9983	99894.69	84311.8504	90096.0896	95543.6186	104853.4473	65489.8333	83394.6165	90130.8708	104764.2601	85638.1577	96008.7669	99554.4202	81910.0984	81625.1739	52254.5154	52271.5831	53512.4846	55658.8878	53933.7196	58465.5887	60327.4625	57577.7763	61064.8784	58528.7549	58293.5937	52488.244	57575.4498	56283.116	50801.308
Energy metabolism	66980.6898	80308.3086	65382.537	64051.882	65508.2436	65862.8567	59655.0407	64304.7492	64343.8828	67104.2619	65065.1821	69740.5349	66010.6655	62621.5679	61997.403	56203.7784	55884.1112	56152.4346	57084.4822	56503.2758	57320.5744	57427.1337	57222.9432	57615.0648	56793.2038	56748.1952	55847.2385	57741.742	54959.5079	54446.7776
Replication and repair	63301.5084	76048.578	62632.933	63515.0038	61472.3782	61908.0726	62454.861	62937.866	61722.579	61043.7926	62931.9852	66938.9547	65929.9093	65285.41	65161.6771	54299.0745	53726.8149	54163.0828	54689.7384	54285.2689	54991.5115	54978.2852	54460.562	55106.9033	54436.8177	54268.703	53835.3273	55713.5158	52669.4692	52543.3986
Glycan biosynthesis and metabolism	45564.7303	85167.7744	44682.0651	34792.2656	37585.5826	36988.9515	35090.0334	38528.1243	39157.8783	39383.2971	39511.5025	45467.9149	36262.3053	32940.8157	30250.6477	38491.0705	37848.78	37912.4527	38496.2466	38444.8595	38410.3837	38089.5683	37486.2655	38470.0188	37974.8152	38295.5765	37725.4499	39389.7866	35702.34	36222.6808
"Folding, sorting and degradation"	39363.5825	41269.1064	36828.0907	38707.7482	39304.4496	38835.0686	36349.1551	38741.8007	38066.8771	36052.2642	38735.2037	39560.7043	40410.3462	37900.0696	36453.7931	37222.3849	37096.7905	37201.8469	37844.0026	37699.2267	37938.4187	38110.266	38011.2718	38158.223	37788.9683	37797.0161	37381.1676	37135.5517	36872.718	36202.3725
Translation	32828.2476	34019.1357	33249.8331	33149.7547	33259.3307	33354.57	33028.8447	33480.5423	32950.7128	29525.1492	33012.6074	33759.9595	33875.2855	33396.1832	33415.8549	32616.6397	32491.5332	32591.4708	33300.7816	33110.0428	33394.4117	33415.2181	33090.4869	33480.4966	33272.6576	33335.6549	32937.6132	32269.2168	32233.0097	31451.8079
Biosynthesis of other secondary metabolites	32906.6525	43966.4658	30862.7978	30547.7358	31883.855	29525.4052	28914.4773	31290.5531	29046.1821	32471.9143	36273.3373	35330.7317	37244.9879	35871.7277	32707.6535	33156.8869	33121.2878	28772.5352	31098.89	31062.3506	27534.8286	29822.7683	27334.3887	30140.8611	29880.4514	30172.7215	26945.1712	28861.0059	30268.0515	30795.0475
Cell motility	29848.2526	25441.0842	28226.2041	30145.5087	32987.8976	34504.5079	26211.9748	29999.1668	32455.0277	40438.7659	32637.4206	34506.314	30723.6162	29014.3918	30536.1776	26229.5696	25883.7495	26405.1505	26068.7318	25458.7794	26351.3482	27075.7787	26409.8086	26417.8666	25728.3425	25482.6069	26405.7549	27884.4447	26055.0262	27759.5305
Membrane transport	20900.7875	19670.0799	19024.4119	22761.8865	23861.9347	24667.8347	17888.5198	21252.4737	22510.4125	29366.0741	22037.2036	25581.3302	21056.9318	19557.9201	21782.5343	16181.9157	16098.6243	16325.3278	16789.6528	16623.0041	16862.3288	17183.2238	17182.256	17127.3842	16779.8082	16666.7382	16413.0891	17338.8568	15883.1923	16173.7664
Nucleotide metabolism	19770.6693	22799.9215	20115.0482	19881.4682	19883.1012	20065.7039	18776.93	19810.4232	19697.2093	19991.7561	19695.4002	20690.9225	20111.0595	19440.5223	19350.1872	17626.2249	17525.4463	17614.6371	17990.2226	17846.6386	18080.7031	18109.101	17941.4229	18120.1935	17945.3254	17969.5423	17677.2985	17985.6732	17380.6369	17026.2395
Cell growth and death	17557.6662	17800.205	17499.8476	18021.3609	18368.6963	18766.4461	17036.33	18057.6483	17934.3185	19476.0818	17988.6781	19257.9228	17215.7412	17258.5066	18272.8261	15681.508	15554.26	15670.9517	16011.6725	15841.564	16081.4471	16177.9326	16027.0318	16180.6367	16025.6662	15977.9329	15712.8307	15859.8597	14858.8588	15230.0255
Transcription	10709.3332	11133.8003	10950.8788	10092.2969	10738.9804	10120.7417	9569.02	10474.8438	10257.6269	9354.001	10466.6244	11010.0939	10796.9678	10094.9085	9041.2525	10003.2188	10042.0236	10031.1294	10274.2601	10292.9718	10294.3899	10243.8535	10266.0388	10298.2252	10261.6151	10333.8006	10249.2162	10079.7797	10167.7857	9468.9899
Signal transduction	5928.9166	6254.9513	5411.5862	5343.8562	5612.5399	5598.6308	4320.9716	5208.2073	5266.233	6388.5452	5483.889	5864.4971	5661.8148	4851.2776	4660.2452	4513.3533	4461.4435	4513.2772	4526.171	4435.5452	4542.8485	4564.356	4570.2418	4577.9574	4493.206	4457.4117	4511.5175	4844.4025	4417.209	4484.2229
Transport and catabolism	5301.9662	8251.7209	4949.4536	4123.3608	4301.2593	4202.8363	3597.9188	4310.6242	4345.8909	4231.6169	4410.4979	4907.0606	5028.1475	4128.9914	3317.2355	3324.6016	3279.8976	3343.9646	3299.9074	3242.0108	3308.1023	3327.0126	3326.8839	3365.1427	3268.4765	3256.8846	3217.6825	3654.2829	3279.3157	3205.4754
