pathway	i_Si_2w_1	i_Si_2w_2	i_Si_2w_3	i_Si_4w_1	i_Si_4w_2	i_Si_4w_3	i_Si_6w_1	i_Si_6w_2	i_Si_6w_3	i_Si_8w_1	i_Si_8w_2	i_Si_8w_3	o_Si_1	o_Si_2	o_Si_3	i_So_2w_1	i_So_2w_2	i_So_2w_3	i_So_4w_1	i_So_4w_2	i_So_4w_3	i_So_6w_1	i_So_6w_2	i_So_6w_3	i_So_8w_1	i_So_8w_2	i_So_8w_3	o_So_1	o_So_2	o_So_3
ANAGLYCOLYSIS-PWY	8280.5584	9086.5976	2934.365	8448.5504	10435.4073	11948.0502	8505.3919	4403.7009	8227.7328	8943.5253	7066.9201	9315.8646	6278.4438	7083.329	5794.995	9583.6672	7739.6882	7907.6073	6302.2446	6067.1015	6973.8943	7217.5136	4824.7301	7128.4405	5632.0785	8628.9593	9653.839	8898.7037	9216.5157	5802.9235
ARGSYN-PWY	3841.774	3629.8469	519.8375	3661.5858	2265.2924	506.117	5118.3622	607.585	530.9811	1962.0897	627.2854	176.7224	2762.7288	1121.5249	1179.9517	10329.5235	3193.7981	2787.2821	2825.1155	3165.1327	4064.6104	3118.713	2340.7903	2912.1784	3428.5198	2542.0596	1789.9673	6654.6407	1902.7956	2571.8215
CALVIN-PWY	10695.4482	14024.8789	3939.6017	13721.9784	11851.4375	13122.972	12114.9796	5677.7807	11035.1578	13310.5008	8999.8725	11898.251	8437.0556	9859.3131	9391.6229	11299.2374	10497.222	10806.4989	8852.2091	8427.7111	9601.8894	9397.6779	6712.9948	9917.1042	7977.4123	13156.36	14965.6694	11406.5607	10435.9094	7904.458
COA-PWY	7510.184	9063.2282	2805.8828	8433.176	9726.6127	11426.4517	7826.918	4014.4316	7675.4214	8590.9975	6470.0576	8819.2548	5997.2987	7137.6368	6733.4262	5321.5114	6902.7817	7028.192	5771.1839	5404.4203	6063.2245	6479.7278	4300.6105	6131.1746	4832.7273	8115.4788	9253.9595	7361.8871	8567.7395	5066.3848
COLANSYN-PWY	3282.7462	2641.1964	1773.6129	2417.1856	2520.7939	616.0963	4220.689	1272.5971	610.0282	1761.9096	2982.2036	1501.9124	2601.6427	1979.742	1527.1989	2914.614	3972.1414	4057.7325	3423.375	3153.2946	3675.841	2570.2085	2586.1817	2876.1618	2148.5862	2989.0315	2623.9029	3582.8572	2011.5611	2649.3024
FAO-PWY	19448.7616	22533.044	6191.0653	20855.1521	21957.8302	21653.9993	21189.851	9715.2192	18494.8713	22782.7454	13151.0213	20595.8697	14468.4335	15683.239	15317.5581	30384.0986	16272.0602	17063.7431	13406.5328	13750.7319	16027.5167	14191.2753	10652.8206	15441.3829	13460.0772	19761.2966	22048.7238	21409.3905	19266.6192	13975.3459
FASYN-ELONG-PWY	21263.5836	69755.9003	11629.55	92205.3601	12534.0228	5509.0958	48258.3163	12268.6789	27371.2465	62753.5149	25276.3822	14987.8349	19547.9564	23981.621	28057.0013	28470.1028	32318.6244	35501.6683	35080.0949	31400.3029	37348.1745	25867.6826	25792.2639	36471.3897	35759.6272	73002.0394	87541.5234	22104.0495	8986.6964	24078.73
GLUCONEO-PWY	7333.1365	5155.2251	1295.7766	1648.7267	4483.3593	2138.5132	5124.0045	3996.9004	8641.4234	8379.1845	5083.4999	9168.3737	2586.9753	3311.761	2386.5687	3024.9266	4002.4786	4304.5517	2956.5556	2568.3904	2879.0994	4095.4545	2125.0393	2906.9286	2769.6915	1982.3277	1867.7928	2362.8109	715.8945	2185.2271
GLUCOSE1PMETAB-PWY	1808.9411	5513.7143	1217.3262	6374.7538	1148.9479	253.1698	4402.445	768.1882	1916.8745	4514.6883	1948.0975	669.713	3083.1122	4061.5836	5114.1084	1985.904	2679.0907	2814.3482	2989.5997	2843.4222	3107.8333	2297.9352	2236.132	2910.7584	2874.7267	5276.9375	6145.5164	2854.5118	906.3565	2176.1942
GLUTORN-PWY	1225.8837	1028.2879	123.9592	1045.4121	569.4718	109.0692	1788.8365	141.9956	116.4309	482.7325	140.5365	37.3863	824.9784	261.6672	278.0162	6942.3964	943.1214	776.1567	853.9942	1024.8618	1423.636	945.8031	734.3992	853.3415	1223.105	661.4219	426.2317	2869.7766	472.3135	793.8164
GLYCOCAT-PWY	2941.0906	6951.7384	1707.5844	7706.8651	2058.1632	495.3862	5770.469	1292.9901	3084.2426	5960.3578	3000.2932	1245.3554	4115.2015	5199.8808	6137.8779	3241.533	3928.8351	4096.1328	4011.9714	3831.2883	4237.6218	3443.0392	3019.9868	4085.6585	3751.5502	6612.0187	7639.5336	4240.9404	1642.1636	3111.5393
GLYCOGENSYNTH-PWY	2079.7545	3553.4257	1129.859	1619.2515	1390.4363	312.5942	3337.888	888.3417	2214.27	4320.4244	2084.1438	819.4764	2855.5808	3498.6028	2410.4803	1903.6263	2718.0242	2793.9011	2726.369	2327.3093	2813.6895	2412.0576	1974.7778	2858.2839	2171.6128	2569.7838	2775.217	2498.5491	1096.4579	2042.9356
GLYOXYLATE-BYPASS	17984.6237	21048.5402	6360.1498	19346.4684	21849.7119	24292.8104	18993.531	9507.0809	18527.4474	20033.7738	14507.2907	20528.381	13898.689	16241.0096	15087.1856	20650.7027	16945.6571	17167.7284	13824.3126	13398.834	15149.5665	15583.7153	10579.3087	15804.9575	12332.5441	19932.9499	22494.9101	18262.5685	19283.4898	12500.5168
HEME-BIOSYNTHESIS-II	8732.8685	10334.5153	3192.3	9653.685	11742.8287	12275.3778	9436.4569	4456.8839	8208.4653	9491.9446	7311.2981	9643.1768	6899.7685	8188.2735	7723.0609	9711.5478	8760.9517	8665.2233	7357.4998	6828.401	7880.4076	7897.1899	5539.7947	7828.2266	6165.6402	9583.05	10588.0591	8834.6441	9971.0049	6066.9098
HSERMETANA-PWY	14.9883	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.984	8.9954	0	0	11.9919	0	0	0	53.8901	29.9701	0	0	20.9702
LEU-DEG2-PWY	1908.5199	6844.1133	1482.47	10385.9005	1505.9286	6023.4423	5346.9595	1542.671	1919.832	6678.2085	4560.1119	1022.9034	1868.0977	1684.775	1320.6788	2407.3551	3616.6058	4107.5399	4021.8212	3502.6131	4132.8054	2964.402	2947.491	3818.5734	4058.9994	8833.2345	10650.1472	5051.8285	1708.8922	3136.3769
LIPASYN-PWY	509.1993	226.6867	669.1356	29.9518	286.2552	19.3109	3892.4392	95.1966	0	0	49.5194	0	1633.68	1134.5747	669.1457	69.0768	536.8055	852.2914	1296.6041	856.0561	756.6548	538.3246	596.1294	702.5035	711.4696	274.9034	99.4382	260.8136	340.9013	962.1854
NAD-BIOSYNTHESIS-II	8505.9826	7673.5283	2477.0791	5880.9782	11380.3908	10356.2989	7699.1171	4152.6751	8619.5575	8149.4091	5550.6485	10206.1504	5266.1389	5706.0108	4177.2159	9699.7882	7395.9998	7514.6585	5580.1378	5385.5906	6142.3871	6127.1072	4264.4967	6647.9822	4755.4596	6444.4915	6975.0076	7013.811	9741.1713	5035.0305
NONOXIPENT-PWY	13177.4045	14754.0326	4627.7201	14781.4798	17279.7722	16084.279	13793.0228	6289.7154	10616.519	13778.4102	9761.6403	14302.4512	9876.4769	10764.527	9922.5276	17603.1611	12339.6808	12570.9796	10313.2879	9573.7229	11236.3307	10739.5969	7778.6432	10733.7029	9058.479	14723.9558	16440.9411	15982.8146	15072.1336	9451.0347
P221-PWY	4752.7719	1486.9419	1295.9994	1271.1643	14064.4747	4771.3683	2880.6779	1376.0999	289.2024	1525.0281	2471.57	6490.1062	3397.3783	2823.1368	1366.2542	2098.0352	3546.4221	3471.2846	2846.9007	2354.3385	2800.6009	1880.9504	2019.2325	1998.22	1442.8733	2429.1397	2159.6213	2594.8552	12047.2889	2441.4619
PANTO-PWY	9748.6501	12100.026	3676.2214	11705.5862	11811.7623	13134.9198	11251.1052	5126.4373	9588.4115	11526.2575	8351.6337	10488.8034	7691.6894	8810.8917	8358.7404	11995.7737	9372.1143	9612.0718	7935.8291	7558.3729	8667.1205	8699.6821	6047.2312	8716.58	7151.5798	11290.6623	12710.2366	10882.8804	10365.1595	7164.6297
PANTOSYN-PWY	3635.6196	7767.4853	2063.4131	8401.5124	2340.303	560.0227	6887.5365	1698.8526	3510.7811	6816.8554	3485.6245	1521.3673	4407.2581	5625.5795	6373.8363	4581.4438	5713.5296	5434.1669	5171.7814	4669.1615	5428.6888	4463.9568	3867.2849	5087.9424	4383.6757	7518.5739	8552.2591	4728.2198	1894.4953	3380.0115
PENTOSE-P-PWY	9413.6733	10115.7523	3293.752	9049.6417	12142.0484	13638.2808	9190.295	4877.8284	8750.7629	9764.0856	7761.9893	10752.5625	7028.5372	7926.8634	6422.0139	11101.9565	8671.9302	8815.3254	6936.1233	6582.4747	7596.4948	7980.3438	5268.4006	7656.5545	6024.1989	9544.9192	10679.0037	10669.3509	10838.4397	6722.8638
PHOSLIPSYN-PWY	282.8174	113.8605	380.1597	19.9606	384.5727	84.5815	2273.6111	679.7466	14.9802	19.9667	59.6172	0	900.4324	624.3877	467.3789	49.8056	348.0652	459.4731	749.9497	579.4555	406.1084	402.8175	380.7992	374.5465	587.8355	272.9169	89.3288	133.5201	283.6404	788.1199
PWY-3781	34751.3542	31148.5623	10887.2352	22483.7092	46439.4831	49591.8132	29379.2847	18476.0392	34695.4295	32297.5763	27639.3131	42427.7199	22499.6492	24812.4152	16964.0178	37890.2179	28760.9024	29234.2458	21788.0261	20830.4036	24364.7652	27988.0625	16776.9338	25871.3571	18889.7874	26858.9294	29403.7507	33050.629	40505.7676	21059.3853
PWY-4984	8728.7451	11177.0166	3211.8946	11112.0214	10342.9256	11673.0128	9990.4824	4381.6797	8490.7991	10435.156	7150.5386	9107.4976	7013.0405	7982.3852	7627.2687	12033.2444	8567.6411	8761.1027	7236.3564	7017.6267	8022.7794	7840.306	5540.1045	8044.1013	6612.5164	10384.9336	11702.4321	9971.5386	9147.4567	6239.2951
PWY-5189	8674.3574	11180.6458	3320.9678	10715.3981	10470.7143	11583.6501	9918.5396	4473.0762	8754.3358	10417.3294	7374.3781	9239.6662	7237.0447	8533.6982	8222.3594	9731.2526	8464.3801	8661.3657	7188.8255	6913.9108	7818.8071	7813.4462	5475.4893	7977.4161	6433.1935	10209.1797	11511.1732	9339.9785	9189.2072	6312.41
PWY-5651	2561.5374	6761.8293	1531.1109	7907.562	1400.8473	286.1117	5609.3786	1411.1007	2482.653	5654.994	2460.0789	851.7831	3700.4767	4880.1515	6013.7383	3642.8662	4802.218	4385.0264	4656.8962	4057.5448	4777.1191	3502.3816	3453.3225	4376.4209	3987.1879	6797.0615	7670.9848	3568.7331	1228.5869	2838.5001
PWY-5659	12942.6199	15121.466	4869.9044	13739.5298	14168.0345	16945.7314	13693.3542	6694.6604	11592.6051	13514.7311	10610.5776	14278.3419	10534.3003	12238.2918	11035.2096	16776.5998	11435.7367	11836.7786	9489.0118	9253.134	10536.0439	11414.0121	7246.5952	10447.0488	8616.0383	13090.9928	14578.4926	14021.0844	12189.5159	9247.9423
PWY-5667	7386.3833	6743.8148	2519.2589	5645.0861	9571.4549	11433.8328	6963.0895	4004.8755	7312.7899	7324.2364	5965.4399	8738.1591	5120.4235	5515.2451	3960.2746	8279.588	6637.0952	6786.0837	5053.9366	4887.0026	5635.0689	6260.182	3925.1985	5880.5234	4371.4123	6281.4213	6903.0432	7653.5226	8514.6302	4721.2621
PWY-5695	4803.5435	3723.9674	2221.7923	2296.7245	10727.6261	8569.1277	4107.9998	2398.3974	972.0761	2175.1314	5108.4166	5808.9375	3889.6719	4481.2481	2897.5857	2537.8585	3731.6099	3683.3661	3168.5416	2521.8342	3008.0002	4114.483	2169.2387	2326.3122	1912.7352	2545.6802	2384.4683	3308.2029	9026.9657	3184.7671
PWY-5705	106.8479	45.7799	151.2722	5.9971	61.8751	0	957.9716	19.6855	0	0	9.9711	0	303.9356	206.7761	124.4443	13.9367	112.9824	184.8427	289.6534	183.5892	160.8686	113.8975	127.2704	136.1408	151.1869	55.6919	19.9669	50.14	74.4359	213.4439
PWY-5920	8677.0972	10732.8354	3248.6873	10152.9923	10987.1216	11916.7827	9611.8378	4441.4984	8465.6003	9928.3369	7280.7489	9435.9783	7063.7321	8349.2678	7963.6939	9627.3823	8448.5723	8567.2776	7142.9581	6792.7596	7725.0579	7785.2709	5416.7513	7811.5632	6243.0854	9847.6546	11023.1063	9070.8192	9555.0703	6173.6503
PWY-5989	3784.5801	8794.9168	2145.9984	7212.2556	2010.5153	496.9569	7369.4992	1790.3089	4202.2153	8886.0944	4128.7721	1474.2564	5411.5588	6725.4372	5497.5445	4323.4623	5451.7471	5724.9288	5156.6986	5005.3379	5621.6314	4837.86	3912.4312	5977.625	5059.5438	7840.0703	8955.7633	5677.7596	1682.3678	4441.1493
PWY-6121	1737.088	3084.8674	448.4566	2341.8909	769.6942	386.9898	2460.6572	476.5948	844.5406	2194.2709	457.4722	555.8112	2254.3199	2204.9609	1858.0878	6729.7137	1659.0778	1257.4297	1255.5266	1295.1428	1822.5407	1449.631	976.9422	1092.0789	1604.9194	2684.9435	2994.7577	3256.3866	651.9113	1835.8292
PWY-6122	1453.9268	2647.1945	370.3848	1979.7154	625.5172	311.6988	2091.4686	390.3942	690.4166	1847.9078	371.1834	450.2948	1945.2335	1878.8381	1572.4281	6353.9399	1389.8894	1040.7392	1047.5653	1083.9376	1542.4793	1210.8573	815.8343	902.4335	1365.1097	2293.8657	2557.274	2828.5077	529.4389	1574.6084
PWY-6125	9484.8777	11501.7974	3532.6967	10953.4086	11392.443	14208.5934	10839.7694	4910.753	9506.3186	11013.336	7786.6979	10413.1038	7419.0561	8480.9051	8062.304	11296.321	8974.1043	9233.8857	7516.7038	7291.2789	8346.6214	8250.2845	5812.2386	8407.4592	6817.1514	10610.4578	11928.4795	9965.9456	10053.9281	6684.6411
PWY-6126	11383.8814	13740.9233	4240.3866	13180.8423	14301.1558	17419.1889	12549.0938	5829.0926	11172.8075	12943.2149	9416.5765	12661.2318	8829.082	10142.2568	9537.0324	13383.9738	10815.5573	11093.9947	9007.9859	8695.3453	9921.1379	9971.7863	6914.3387	10018.2925	8036.4269	12659.0124	14241.0182	12028.2676	12719.1659	8013.2465
PWY-621	3958.5618	10057.963	2301.4661	10932.9579	2230.7813	729.0135	8506.769	1803.6841	4331.8438	8431.0358	4023.2139	1715.7117	5845.9117	7425.2035	8682.944	5051.9977	5477.0545	5714.4917	5665.4988	5533.1612	6038.6146	4835.6308	4273.6875	5829.7625	5502.863	9463.157	10882.5129	6153.8085	1957.2667	4439.0447
PWY-6277	1453.9268	2647.1945	370.3848	1979.7154	625.5172	311.6988	2091.4686	390.3942	690.4166	1847.9078	371.1834	450.2948	1945.2335	1878.8381	1572.4281	6353.9399	1389.8894	1040.7392	1047.5653	1083.9376	1542.4793	1210.8573	815.8343	902.4335	1365.1097	2293.8657	2557.274	2828.5077	529.4389	1574.6084
