Var1	Var2	value
2	i_Si_2w_2	i_Si_2w_1	0.454628263104006
3	i_Si_2w_3	i_Si_2w_1	0.0664189921445744
4	i_Si_4w_1	i_Si_2w_1	-1.21460797016072
5	i_Si_4w_2	i_Si_2w_1	-0.620027591377295
6	i_Si_4w_3	i_Si_2w_1	0.377798626324226
7	i_Si_6w_1	i_Si_2w_1	1.22693556807864
8	i_Si_6w_2	i_Si_2w_1	0.723653147796315
9	i_Si_6w_3	i_Si_2w_1	-0.378987348149514
10	i_Si_8w_1	i_Si_2w_1	-0.993512337160259
11	i_Si_8w_2	i_Si_2w_1	0.78291692010797
12	i_Si_8w_3	i_Si_2w_1	0.0982154653982535
13	o_Si_1	i_Si_2w_1	-0.322431146906616
14	o_Si_2	i_Si_2w_1	0.183619361833948
15	o_Si_3	i_Si_2w_1	0.761073382939418
18	i_Si_2w_3	i_Si_2w_2	1.80530172415671
19	i_Si_4w_1	i_Si_2w_2	0.29163726640373
20	i_Si_4w_2	i_Si_2w_2	0.382421283664423
21	i_Si_4w_3	i_Si_2w_2	0.329432200544658
22	i_Si_6w_1	i_Si_2w_2	1.10603163365334
23	i_Si_6w_2	i_Si_2w_2	0.419827200919029
24	i_Si_6w_3	i_Si_2w_2	-0.353622116199982
25	i_Si_8w_1	i_Si_2w_2	0.809937230426006
26	i_Si_8w_2	i_Si_2w_2	0.427370042025022
27	i_Si_8w_3	i_Si_2w_2	0.10709531491614
28	o_Si_1	i_Si_2w_2	-0.567467868234973
29	o_Si_2	i_Si_2w_2	-0.36005381175908
30	o_Si_3	i_Si_2w_2	-0.343479166176402
34	i_Si_4w_1	i_Si_2w_3	0.670541680582756
35	i_Si_4w_2	i_Si_2w_3	0.750288837589671
36	i_Si_4w_3	i_Si_2w_3	1.1059123153292
37	i_Si_6w_1	i_Si_2w_3	1.91245579184253
38	i_Si_6w_2	i_Si_2w_3	0.0910123223028113
39	i_Si_6w_3	i_Si_2w_3	-0.204401193209904
40	i_Si_8w_1	i_Si_2w_3	0.843184133247882
41	i_Si_8w_2	i_Si_2w_3	1.39819663855372
42	i_Si_8w_3	i_Si_2w_3	0.826529080762182
43	o_Si_1	i_Si_2w_3	-0.35191322987834
44	o_Si_2	i_Si_2w_3	-0.0210700154667332
45	o_Si_3	i_Si_2w_3	0.805752629791363
50	i_Si_4w_2	i_Si_4w_1	-0.577202110926858
51	i_Si_4w_3	i_Si_4w_1	-1.61620056563427
52	i_Si_6w_1	i_Si_4w_1	-0.280221035653903
53	i_Si_6w_2	i_Si_4w_1	-0.531146945737369
54	i_Si_6w_3	i_Si_4w_1	-0.563504200774147
55	i_Si_8w_1	i_Si_4w_1	2.08819579131131
56	i_Si_8w_2	i_Si_4w_1	-0.762706512564634
57	i_Si_8w_3	i_Si_4w_1	-0.369417414487609
58	o_Si_1	i_Si_4w_1	-0.398447525614969
59	o_Si_2	i_Si_4w_1	-0.0719665139564194
60	o_Si_3	i_Si_4w_1	0.493219819957612
66	i_Si_4w_3	i_Si_4w_2	0.592134134984168
67	i_Si_6w_1	i_Si_4w_2	0.817228283418073
68	i_Si_6w_2	i_Si_4w_2	-0.960221836687203
69	i_Si_6w_3	i_Si_4w_2	0.454666816740884
70	i_Si_8w_1	i_Si_4w_2	-0.713263787900615
71	i_Si_8w_2	i_Si_4w_2	-1.45949347617191
72	i_Si_8w_3	i_Si_4w_2	-0.108342349685529
73	o_Si_1	i_Si_4w_2	-0.830628422730757
74	o_Si_2	i_Si_4w_2	0.0934642764362589
75	o_Si_3	i_Si_4w_2	0.406576744919073
82	i_Si_6w_1	i_Si_4w_3	-1.93056302738643
83	i_Si_6w_2	i_Si_4w_3	-0.338374296609506
84	i_Si_6w_3	i_Si_4w_3	-1.61854879219543
85	i_Si_8w_1	i_Si_4w_3	0.123021317987729
86	i_Si_8w_2	i_Si_4w_3	0.381854166596393
87	i_Si_8w_3	i_Si_4w_3	0.164059098676851
88	o_Si_1	i_Si_4w_3	-0.836028125768469
89	o_Si_2	i_Si_4w_3	-0.204663927929191
90	o_Si_3	i_Si_4w_3	-0.0812790876827537
98	i_Si_6w_2	i_Si_6w_1	2.49125826738962
99	i_Si_6w_3	i_Si_6w_1	-0.780611111871164
100	i_Si_8w_1	i_Si_6w_1	1.02264315825804
101	i_Si_8w_2	i_Si_6w_1	1.19789278616713
102	i_Si_8w_3	i_Si_6w_1	0.95012550371158
103	o_Si_1	i_Si_6w_1	-0.488066660913399
104	o_Si_2	i_Si_6w_1	-0.270514334757278
105	o_Si_3	i_Si_6w_1	-0.256020760667805
114	i_Si_6w_3	i_Si_6w_2	0.0420901790056176
115	i_Si_8w_1	i_Si_6w_2	-0.329789247269534
116	i_Si_8w_2	i_Si_6w_2	0.423316275531612
117	i_Si_8w_3	i_Si_6w_2	1.39590552825942
118	o_Si_1	i_Si_6w_2	1.4456257318944
119	o_Si_2	i_Si_6w_2	1.22782064909335
120	o_Si_3	i_Si_6w_2	1.68300296846447
130	i_Si_8w_1	i_Si_6w_3	0.600420620754268
131	i_Si_8w_2	i_Si_6w_3	-0.286015185184092
