Var1	Var2	value
2	i_So_2w_2	i_So_2w_1	0.046836476499952
3	i_So_2w_3	i_So_2w_1	0.126360664901071
4	i_So_4w_1	i_So_2w_1	-0.227803573222372
5	i_So_4w_2	i_So_2w_1	0.0417835416494033
6	i_So_4w_3	i_So_2w_1	-0.0450516402789384
7	i_So_6w_1	i_So_2w_1	0.298103148268572
8	i_So_6w_2	i_So_2w_1	0.178850536518517
9	i_So_6w_3	i_So_2w_1	0.136061399231136
10	i_So_8w_1	i_So_2w_1	-0.0181118991695002
11	i_So_8w_2	i_So_2w_1	-0.564463166914466
12	i_So_8w_3	i_So_2w_1	-0.730417345785711
13	o_So_1	i_So_2w_1	1.99425244973733
14	o_So_2	i_So_2w_1	1.07479474456978
15	o_So_3	i_So_2w_1	-0.55407288867858
18	i_So_2w_3	i_So_2w_2	0.153565223221178
19	i_So_4w_1	i_So_2w_2	0.104078507221424
20	i_So_4w_2	i_So_2w_2	-0.329208883002634
21	i_So_4w_3	i_So_2w_2	0.611924183456355
22	i_So_6w_1	i_So_2w_2	0.131776381347846
23	i_So_6w_2	i_So_2w_2	-0.466676867162775
24	i_So_6w_3	i_So_2w_2	-0.616457547242563
25	i_So_8w_1	i_So_2w_2	0.699550383224316
26	i_So_8w_2	i_So_2w_2	-0.823960795773428
27	i_So_8w_3	i_So_2w_2	-0.723736638064208
28	o_So_1	i_So_2w_2	2.49146956429763
29	o_So_2	i_So_2w_2	3.62329320302823
30	o_So_3	i_So_2w_2	-0.22806917955146
34	i_So_4w_1	i_So_2w_3	1.30134394579155
35	i_So_4w_2	i_So_2w_3	0.338400888266665
36	i_So_4w_3	i_So_2w_3	0.667190394578252
37	i_So_6w_1	i_So_2w_3	0.367792938583205
38	i_So_6w_2	i_So_2w_3	0.119265532584423
39	i_So_6w_3	i_So_2w_3	-0.201912839845344
40	i_So_8w_1	i_So_2w_3	0.522636757787546
41	i_So_8w_2	i_So_2w_3	-0.83241065444952
42	i_So_8w_3	i_So_2w_3	-0.933470564377694
43	o_So_1	i_So_2w_3	3.45738781622273
44	o_So_2	i_So_2w_3	0.925167453610804
45	o_So_3	i_So_2w_3	-0.111021687837418
50	i_So_4w_2	i_So_4w_1	-0.951579009240811
51	i_So_4w_3	i_So_4w_1	-0.398192271726764
52	i_So_6w_1	i_So_4w_1	0.122307040235493
53	i_So_6w_2	i_So_4w_1	0.835500681149472
54	i_So_6w_3	i_So_4w_1	-0.159237208586501
55	i_So_8w_1	i_So_4w_1	-1.0561300674745
56	i_So_8w_2	i_So_4w_1	-0.700711983997771
57	i_So_8w_3	i_So_4w_1	-1.41929406190583
58	o_So_1	i_So_4w_1	4.58485592681262
59	o_So_2	i_So_4w_1	1.90573484515184
60	o_So_3	i_So_4w_1	0.55978629741588
66	i_So_4w_3	i_So_4w_2	-0.35228459691672
67	i_So_6w_1	i_So_4w_2	-0.376610034966686
68	i_So_6w_2	i_So_4w_2	0.0885359909053577
69	i_So_6w_3	i_So_4w_2	0.286623762188565
70	i_So_8w_1	i_So_4w_2	-0.035546792822588
71	i_So_8w_2	i_So_4w_2	0.15625313811246
72	i_So_8w_3	i_So_4w_2	-1.2031852470467
73	o_So_1	i_So_4w_2	0.0038257311704434
74	o_So_2	i_So_4w_2	3.71920796663675
75	o_So_3	i_So_4w_2	-0.131560175649598
82	i_So_6w_1	i_So_4w_3	-0.20620617371075
83	i_So_6w_2	i_So_4w_3	0.695241548293092
84	i_So_6w_3	i_So_4w_3	0.773078520288517
85	i_So_8w_1	i_So_4w_3	-0.678387404408169
86	i_So_8w_2	i_So_4w_3	0.0691305654010691
87	i_So_8w_3	i_So_4w_3	-0.85752531087596
88	o_So_1	i_So_4w_3	1.59557097992441
89	o_So_2	i_So_4w_3	2.90706042674623
90	o_So_3	i_So_4w_3	-0.237909673176908
98	i_So_6w_2	i_So_6w_1	0.0157868904518459
99	i_So_6w_3	i_So_6w_1	-0.17317023355276
100	i_So_8w_1	i_So_6w_1	-0.590913122126375
101	i_So_8w_2	i_So_6w_1	-0.875736151103418
102	i_So_8w_3	i_So_6w_1	-0.894892200407168
103	o_So_1	i_So_6w_1	2.42370401975489
104	o_So_2	i_So_6w_1	1.64798046729329
105	o_So_3	i_So_6w_1	-0.564831971199661
114	i_So_6w_3	i_So_6w_2	0.0170762369306405
115	i_So_8w_1	i_So_6w_2	0.774946142480948
116	i_So_8w_2	i_So_6w_2	-0.332340924498496
117	i_So_8w_3	i_So_6w_2	0.122363678985136
118	o_So_1	i_So_6w_2	0.627156118328492
119	o_So_2	i_So_6w_2	-0.241803765994838
120	o_So_3	i_So_6w_2	-0.64927843046325
130	i_So_8w_1	i_So_6w_3	0.188358915905668
131	i_So_8w_2	i_So_6w_3	0.496952163790115
132	i_So_8w_3	i_So_6w_3	-0.470652390200661
133	o_So_1	i_So_6w_3	0.432684536960019
134	o_So_2	i_So_6w_3	2.60202855446746
135	o_So_3	i_So_6w_3	-0.238440228286328
146	i_So_8w_2	i_So_8w_1	-0.514284842234187
147	i_So_8w_3	i_So_8w_1	-0.83048666809414
148	o_So_1	i_So_8w_1	3.97763657447586
149	o_So_2	i_So_8w_1	2.32436387521492
150	o_So_3	i_So_8w_1	-0.0783682158724918
162	i_So_8w_3	i_So_8w_2	-0.549172150404452
163	o_So_1	i_So_8w_2	-0.274111981308435
164	o_So_2	i_So_8w_2	-0.496795259197393
165	o_So_3	i_So_8w_2	-0.615551599119306
178	o_So_1	i_So_8w_3	-0.232205944687236
179	o_So_2	i_So_8w_3	-0.56677727337797
180	o_So_3	i_So_8w_3	-0.792832773366362
194	o_So_2	o_So_1	-0.0883146196969062
195	o_So_3	o_So_1	-0.67183424461146
210	o_So_3	o_So_2	-0.835332678876784
