Var1	Var2	value
2	i_Si_2w_2	i_Si_2w_1	0.99
3	i_Si_2w_3	i_Si_2w_1	1
4	i_Si_4w_1	i_Si_2w_1	0.99
5	i_Si_4w_2	i_Si_2w_1	0.97
6	i_Si_4w_3	i_Si_2w_1	0.44
7	i_Si_6w_1	i_Si_2w_1	1
8	i_Si_6w_2	i_Si_2w_1	1
9	i_Si_6w_3	i_Si_2w_1	0.97
10	i_Si_8w_1	i_Si_2w_1	0.9
11	i_Si_8w_2	i_Si_2w_1	1
12	i_Si_8w_3	i_Si_2w_1	-0.18
13	o_Si_1	i_Si_2w_1	1
14	o_Si_2	i_Si_2w_1	1
15	o_Si_3	i_Si_2w_1	1
18	i_Si_2w_3	i_Si_2w_2	1
19	i_Si_4w_1	i_Si_2w_2	1
20	i_Si_4w_2	i_Si_2w_2	1
21	i_Si_4w_3	i_Si_2w_2	0.63
22	i_Si_6w_1	i_Si_2w_2	1
23	i_Si_6w_2	i_Si_2w_2	1
24	i_Si_6w_3	i_Si_2w_2	0.92
25	i_Si_8w_1	i_Si_2w_2	0.97
26	i_Si_8w_2	i_Si_2w_2	0.99
27	i_Si_8w_3	i_Si_2w_2	0.86
28	o_Si_1	i_Si_2w_2	1
29	o_Si_2	i_Si_2w_2	1
30	o_Si_3	i_Si_2w_2	1
34	i_Si_4w_1	i_Si_2w_3	1
35	i_Si_4w_2	i_Si_2w_3	1
36	i_Si_4w_3	i_Si_2w_3	0.89
37	i_Si_6w_1	i_Si_2w_3	1
38	i_Si_6w_2	i_Si_2w_3	1
39	i_Si_6w_3	i_Si_2w_3	1
40	i_Si_8w_1	i_Si_2w_3	1
41	i_Si_8w_2	i_Si_2w_3	1
42	i_Si_8w_3	i_Si_2w_3	1
43	o_Si_1	i_Si_2w_3	1
44	o_Si_2	i_Si_2w_3	1
45	o_Si_3	i_Si_2w_3	1
50	i_Si_4w_2	i_Si_4w_1	0.99
51	i_Si_4w_3	i_Si_4w_1	0.63
52	i_Si_6w_1	i_Si_4w_1	0.93
53	i_Si_6w_2	i_Si_4w_1	1
54	i_Si_6w_3	i_Si_4w_1	1
55	i_Si_8w_1	i_Si_4w_1	0.88
56	i_Si_8w_2	i_Si_4w_1	1
57	i_Si_8w_3	i_Si_4w_1	0.99
58	o_Si_1	i_Si_4w_1	1
59	o_Si_2	i_Si_4w_1	1
60	o_Si_3	i_Si_4w_1	1
66	i_Si_4w_3	i_Si_4w_2	0.81
67	i_Si_6w_1	i_Si_4w_2	1
68	i_Si_6w_2	i_Si_4w_2	1
69	i_Si_6w_3	i_Si_4w_2	1
70	i_Si_8w_1	i_Si_4w_2	1
71	i_Si_8w_2	i_Si_4w_2	1
72	i_Si_8w_3	i_Si_4w_2	0.4
73	o_Si_1	i_Si_4w_2	1
74	o_Si_2	i_Si_4w_2	1
75	o_Si_3	i_Si_4w_2	1
82	i_Si_6w_1	i_Si_4w_3	0.63
83	i_Si_6w_2	i_Si_4w_3	0.81
84	i_Si_6w_3	i_Si_4w_3	0.6
85	i_Si_8w_1	i_Si_4w_3	0.66
86	i_Si_8w_2	i_Si_4w_3	0.5
87	i_Si_8w_3	i_Si_4w_3	0.64
88	o_Si_1	i_Si_4w_3	0.5
89	o_Si_2	i_Si_4w_3	0.47
90	o_Si_3	i_Si_4w_3	0.53
98	i_Si_6w_2	i_Si_6w_1	1
99	i_Si_6w_3	i_Si_6w_1	1
100	i_Si_8w_1	i_Si_6w_1	1
101	i_Si_8w_2	i_Si_6w_1	0.98
102	i_Si_8w_3	i_Si_6w_1	1
103	o_Si_1	i_Si_6w_1	0.97
104	o_Si_2	i_Si_6w_1	1
105	o_Si_3	i_Si_6w_1	1
114	i_Si_6w_3	i_Si_6w_2	1
115	i_Si_8w_1	i_Si_6w_2	1
116	i_Si_8w_2	i_Si_6w_2	1
117	i_Si_8w_3	i_Si_6w_2	0.96
118	o_Si_1	i_Si_6w_2	1
119	o_Si_2	i_Si_6w_2	1
120	o_Si_3	i_Si_6w_2	1
130	i_Si_8w_1	i_Si_6w_3	0.84
131	i_Si_8w_2	i_Si_6w_3	0.99
132	i_Si_8w_3	i_Si_6w_3	0.9
133	o_Si_1	i_Si_6w_3	0.96
134	o_Si_2	i_Si_6w_3	0.97
135	o_Si_3	i_Si_6w_3	0.87
146	i_Si_8w_2	i_Si_8w_1	0.47
147	i_Si_8w_3	i_Si_8w_1	-0.56
148	o_Si_1	i_Si_8w_1	1
149	o_Si_2	i_Si_8w_1	1
150	o_Si_3	i_Si_8w_1	1
162	i_Si_8w_3	i_Si_8w_2	0.15
163	o_Si_1	i_Si_8w_2	1
164	o_Si_2	i_Si_8w_2	1
165	o_Si_3	i_Si_8w_2	1
178	o_Si_1	i_Si_8w_3	1
179	o_Si_2	i_Si_8w_3	1
180	o_Si_3	i_Si_8w_3	1
194	o_Si_2	o_Si_1	0.23
195	o_Si_3	o_Si_1	0.03
210	o_Si_3	o_Si_2	-0.58
