Var1	Var2	value
2	i_So_2w_2	i_So_2w_1	1
3	i_So_2w_3	i_So_2w_1	1
4	i_So_4w_1	i_So_2w_1	1
5	i_So_4w_2	i_So_2w_1	1
6	i_So_4w_3	i_So_2w_1	1
7	i_So_6w_1	i_So_2w_1	1
8	i_So_6w_2	i_So_2w_1	1
9	i_So_6w_3	i_So_2w_1	1
10	i_So_8w_1	i_So_2w_1	1
11	i_So_8w_2	i_So_2w_1	1
12	i_So_8w_3	i_So_2w_1	1
13	o_So_1	i_So_2w_1	1
14	o_So_2	i_So_2w_1	1
15	o_So_3	i_So_2w_1	1
18	i_So_2w_3	i_So_2w_2	1
19	i_So_4w_1	i_So_2w_2	1
20	i_So_4w_2	i_So_2w_2	1
21	i_So_4w_3	i_So_2w_2	1
22	i_So_6w_1	i_So_2w_2	1
23	i_So_6w_2	i_So_2w_2	1
24	i_So_6w_3	i_So_2w_2	1
25	i_So_8w_1	i_So_2w_2	1
26	i_So_8w_2	i_So_2w_2	1
27	i_So_8w_3	i_So_2w_2	1
28	o_So_1	i_So_2w_2	1
29	o_So_2	i_So_2w_2	0.61
30	o_So_3	i_So_2w_2	1
34	i_So_4w_1	i_So_2w_3	1
35	i_So_4w_2	i_So_2w_3	1
36	i_So_4w_3	i_So_2w_3	1
37	i_So_6w_1	i_So_2w_3	1
38	i_So_6w_2	i_So_2w_3	1
39	i_So_6w_3	i_So_2w_3	1
40	i_So_8w_1	i_So_2w_3	1
41	i_So_8w_2	i_So_2w_3	1
42	i_So_8w_3	i_So_2w_3	1
43	o_So_1	i_So_2w_3	1
44	o_So_2	i_So_2w_3	-0.33
45	o_So_3	i_So_2w_3	1
50	i_So_4w_2	i_So_4w_1	1
51	i_So_4w_3	i_So_4w_1	1
52	i_So_6w_1	i_So_4w_1	1
53	i_So_6w_2	i_So_4w_1	1
54	i_So_6w_3	i_So_4w_1	1
55	i_So_8w_1	i_So_4w_1	1
56	i_So_8w_2	i_So_4w_1	1
57	i_So_8w_3	i_So_4w_1	1
58	o_So_1	i_So_4w_1	1
59	o_So_2	i_So_4w_1	0.97
60	o_So_3	i_So_4w_1	1
66	i_So_4w_3	i_So_4w_2	1
67	i_So_6w_1	i_So_4w_2	1
68	i_So_6w_2	i_So_4w_2	1
69	i_So_6w_3	i_So_4w_2	1
70	i_So_8w_1	i_So_4w_2	1
71	i_So_8w_2	i_So_4w_2	1
72	i_So_8w_3	i_So_4w_2	1
73	o_So_1	i_So_4w_2	1
74	o_So_2	i_So_4w_2	0.77
75	o_So_3	i_So_4w_2	1
82	i_So_6w_1	i_So_4w_3	1
83	i_So_6w_2	i_So_4w_3	1
84	i_So_6w_3	i_So_4w_3	1
85	i_So_8w_1	i_So_4w_3	1
86	i_So_8w_2	i_So_4w_3	1
87	i_So_8w_3	i_So_4w_3	1
88	o_So_1	i_So_4w_3	1
89	o_So_2	i_So_4w_3	0.93
90	o_So_3	i_So_4w_3	1
98	i_So_6w_2	i_So_6w_1	1
99	i_So_6w_3	i_So_6w_1	1
100	i_So_8w_1	i_So_6w_1	1
101	i_So_8w_2	i_So_6w_1	1
102	i_So_8w_3	i_So_6w_1	1
103	o_So_1	i_So_6w_1	1
104	o_So_2	i_So_6w_1	0.94
105	o_So_3	i_So_6w_1	1
114	i_So_6w_3	i_So_6w_2	1
115	i_So_8w_1	i_So_6w_2	1
116	i_So_8w_2	i_So_6w_2	1
117	i_So_8w_3	i_So_6w_2	1
118	o_So_1	i_So_6w_2	1
119	o_So_2	i_So_6w_2	0.93
120	o_So_3	i_So_6w_2	1
130	i_So_8w_1	i_So_6w_3	1
131	i_So_8w_2	i_So_6w_3	1
132	i_So_8w_3	i_So_6w_3	1
133	o_So_1	i_So_6w_3	1
134	o_So_2	i_So_6w_3	0.68
135	o_So_3	i_So_6w_3	1
146	i_So_8w_2	i_So_8w_1	1
147	i_So_8w_3	i_So_8w_1	1
148	o_So_1	i_So_8w_1	1
149	o_So_2	i_So_8w_1	0.99
150	o_So_3	i_So_8w_1	1
162	i_So_8w_3	i_So_8w_2	1
163	o_So_1	i_So_8w_2	1
164	o_So_2	i_So_8w_2	1
165	o_So_3	i_So_8w_2	1
178	o_So_1	i_So_8w_3	1
179	o_So_2	i_So_8w_3	1
180	o_So_3	i_So_8w_3	1
194	o_So_2	o_So_1	0.99
195	o_So_3	o_So_1	1
210	o_So_3	o_So_2	0.95
