OTU	Domain	Phylum	Class	Order	Family	Genus	Species
ASV000004	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Metarhizium	Metarhizium_anisopliae
ASV000003	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella_ambigua
ASV000007	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Chaetomium	
ASV000016	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	
ASV000006	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae		
ASV000005	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Leucoagaricus	Leucoagaricus_rubrotinctus
ASV000008	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Meripilaceae		
ASV000012	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium_solani
ASV000009	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Metarhizium	Metarhizium_anisopliae
ASV000010	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium_solani
ASV000031	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Leucoagaricus	
ASV000013	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces	
ASV000029	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Leucoagaricus	
ASV000021	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Chaetomium	
ASV000017	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Cucurbitariaceae	Pyrenochaetopsis	Pyrenochaetopsis_leptospora
ASV000022	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	
ASV000023	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae		
ASV000020	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Campylospora	Campylospora_parvula
ASV000032	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	
ASV000045	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella_epicladia
ASV000037	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Metacordyceps	Metacordyceps_chlamydosporia
ASV000019	Fungi	Basidiomycota	Agaricomycetes				
ASV000085	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae		
ASV000027	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Tausonia	Tausonia_pullulans
ASV000028	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae		
ASV000056	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Leucoagaricus	
ASV000034	Fungi	Ascomycota					
ASV000052	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Metacordyceps	Metacordyceps_chlamydosporia
ASV000033	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella_alpina
ASV000035	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Humicola	Humicola_grisea
ASV000036	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium_nematophilum
ASV000041	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Paraboeremia	Paraboeremia_selaginellae
ASV000038	Fungi	Rozellomycota	Rozellomycotina_cls_Incertae_sedis	GS11			
ASV000077	Fungi	Ascomycota	Sordariomycetes	Sordariales			
ASV000094	Fungi	Ascomycota	Sordariomycetes	Sordariales			
ASV000030	Fungi	Basidiomycota	Agaricomycetes				
ASV000039	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lophiostomataceae	Lophiostoma	
ASV000040	Fungi	Ascomycota	Dothideomycetes	Pleosporales			
ASV000044	Fungi	Ascomycota	Leotiomycetes	Helotiales			
ASV000047	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis		
ASV000050	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	Trichoderma_asperellum
ASV000043	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae	Iodophanus	Iodophanus_carneus
ASV000097	Fungi						
ASV000079	Fungi	Ascomycota	Dothideomycetes	Capnodiales			
ASV000048	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium_solani
ASV000049	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Podospora	
ASV000051	Fungi						
ASV000054	Fungi	Ascomycota	Dothideomycetes				
ASV000068	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae		
ASV000121	Fungi	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	Malassezia_restricta
ASV000057	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella_elongata
ASV000090	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	
ASV000055	Fungi	Basidiomycota	Microbotryomycetes	Leucosporidiales	Leucosporidiaceae	Leucosporidium	
ASV000205	Fungi	Ascomycota	Sordariomycetes	Microascales	Halosphaeriaceae	Natantispora	Natantispora_retorquens
ASV000053	Fungi	Ascomycota	Dothideomycetes	Pleosporales			
ASV000100	Fungi	Ascomycota					
ASV000112	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	
ASV000059	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Pseudaleuria	
ASV000063	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces	
ASV000065	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Myxocephala	Myxocephala_albida
ASV000061	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Trichocladium	Trichocladium_opacum
ASV000064	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	
ASV000060	Fungi	Ascomycota	Leotiomycetes	Helotiales			
ASV000071	Fungi	Ascomycota					
ASV000190	Fungi	Ascomycota	Orbiliomycetes	Orbiliales	Orbiliaceae		
ASV000074	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Plectosphaerellaceae	Plectosphaerella	Plectosphaerella_cucumerina
ASV000076	Fungi	Ascomycota	Leotiomycetes	Thelebolales	Pseudeurotiaceae	Pseudogymnoascus	
ASV000162	Fungi	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	Malassezia_restricta
